#node	identifier	x_position	y_position	color	annotation
MS3_00254	6185.A0A094ZGZ0	0.08928571428571429	0.6289022298456262	rgb(127,239,117)	Collagen alpha-2(I) chain.
MS3_00256	6185.A0A094ZCZ2	0.8794642857142857	0.3595197255574614	rgb(140,239,117)	Actin-related protein 6; Belongs to the actin family.
MS3_00351	6185.A0A095BTU9	0.8089285714285714	0.4714408233276158	rgb(117,176,239)	Actin-related protein 2; ATP-binding component of the Arp2/3 complex, a multiprotein complex that mediates actin polymerization upon stimulation by nucleation-promoting factor (NPF). The Arp2/3 complex mediates the formation of branched actin networks in the cytoplasm, providing the force for cell motility. Seems to contact the pointed end of the daughter actin filament.
MS3_00361	6185.A0A094ZD96	0.5794642857142858	0.3132075471698113	rgb(205,239,117)	Alpha-actinin-1.
MS3_00783	6185.A0A094ZIB4	0.6446428571428572	0.8218696397941682	rgb(166,239,117)	Collagen alpha-2(I) chain.
MS3_00852	6185.A0A094ZFZ8	0.5375	0.5262435677530017	rgb(117,239,133)	Filamin-A.
MS3_01006	6185.A0A095AG66	0.11071428571428571	0.7176672384219555	rgb(117,215,239)	Collagen alpha-1(V) chain.
MS3_01079	6185.A0A095AGB3	0.8098214285714286	0.5084905660377359	rgb(117,239,146)	Actin-like protein 6A; Belongs to the actin family.
MS3_01298	6185.A0A095BVY6	0.4544642857142857	0.40969125214408236	rgb(218,239,117)	PDZ and LIM domain protein 7.
MS3_01602	6185.A0A095AHJ7	0.3946428571428572	0.9152658662092625	rgb(187,255,101)	Collagen alpha-1(IV) chain.
MS3_01744	6185.A0A094ZGB5	0.5241071428571429	0.4868782161234992	rgb(231,239,117)	Filamin-A.
MS3_02183	6185.A0A094ZHK3	0.51875	0.7415951972555747	rgb(117,239,120)	Integrin alpha ina-1; Belongs to the integrin alpha chain family.
MS3_02455	6185.A0A094ZIB8	0.27767857142857144	0.7091766723842197	rgb(239,169,117)	Tyrosine-protein kinase.
MS3_04014	6185.A0A095C2B3	0.7285714285714286	0.33713550600343056	rgb(239,182,117)	Alpha-centractin; Belongs to the actin family.
MS3_04409	6185.A0A094ZPR3	0.09375	0.550171526586621	rgb(239,221,117)	Collagen alpha-2(V) chain.
MS3_04420	6185.A0A095APB9	0.5625	0.8674099485420241	rgb(239,208,117)	Collagen alpha-1(XXIV) chain.
MS3_04427	6185.A0A094ZPS9	0.5401785714285714	0.3834476843910806	rgb(192,239,117)	Alpha-actinin, sarcomeric.
MS3_04616	6185.A0A095APX4	0.3580357142857143	0.3834476843910806	rgb(117,239,172)	LIM domain-containing protein jub.
MS3_04907	6185.A0A094ZPG8	0.7544642857142858	0.42204116638078903	rgb(117,162,239)	Actin-related protein 3; Belongs to the actin family.
MS3_04979	6185.A0A095C4C1	0.3089285714285714	0.4791595197255574	rgb(239,143,117)	Fermitin family 1.
MS3_05026	6185.A0A095AQX5	0.655357142857143	0.4552315608919383	rgb(239,195,117)	Cofilin; Belongs to the actin-binding proteins ADF family.
MS3_05316	6185.A0A094ZQH5	0.3357142857142857	0.8759005145797599	rgb(117,202,239)	Collagen alpha-1(IV) chain.
MS3_05320	6185.A0A094ZV34	0.44375	0.8728130360205832	rgb(0,28,178)	Collagen alpha-1(IV) chain.
MS3_05397	6185.A0A094ZQP5	0.31785714285714284	0.0885934819897084	rgb(150,101,255)	Prickle-like protein 3.
MS3_05600	6185.A0A094ZVX7	0.3625	0.20128644939965695	rgb(239,156,117)	Four and a half LIM domains protein 2.
MS3_05634	6185.A0A094ZSZ5	0.39642857142857146	0.6497427101200687	rgb(117,239,238)	Integrin beta.
MS3_05644	6185.A0A094ZT02	0.3357142857142857	0.7439108061749571	rgb(239,117,117)	Tyrosine-protein kinase.
MS3_05835	6185.A0A094ZWE3	0.21875	0.6667238421955404	rgb(117,239,185)	Tyrosine-protein kinase yes.
MS3_06212	6185.A0A094ZXG3	0.2419642857142857	0.3641509433962264	rgb(117,189,239)	LIM and senescent cell antigen-like-containing domain protein 1.
MS3_06750	6185.A0A095C865	0.5696428571428571	0.6412521440823329	rgb(255,0,0)	Talin-1.
MS3_07063	6185.A0A094ZWG6	0.3508928571428571	0.6165523156089194	rgb(239,130,117)	Focal adhesion kinase 1; Belongs to the protein kinase superfamily. Tyr protein kinase family.
MS3_07220	6185.A0A095A048	0.6946428571428572	0.5810463121783876	rgb(117,239,159)	Actin; Belongs to the actin family.
MS3_07221	6185.A0A095AW46	0.6758928571428572	0.5524871355060035	rgb(153,239,117)	Actin; Belongs to the actin family.
MS3_07374	6185.A0A095AWE8	0.6776785714285715	0.39811320754716983	rgb(255,175,101)	Actin-2.
MS3_07408	6185.A0A094ZVS1	0.24821428571428572	0.4382504288164666	rgb(117,239,225)	Unc-112-related protein.
MS3_08067	6185.A0A094ZXH0	0.49375	0.5903087478559178	rgb(14,178,0)	Paxillin.
MS3_08281	6185.A0A095A2S1	0.6026785714285715	0.7269296740994854	rgb(117,228,239)	Integrin alpha-5; Belongs to the integrin alpha chain family.
MS3_08434	6185.A0A095A335	0.15	0.7848198970840481	rgb(0,178,157)	Collagen alpha-2(I) chain.
MS3_08642	6185.A0A095A3M6	0.4544642857142857	0.5069468267581475	rgb(179,239,117)	Vinculin.
MS3_08655	6185.A0A095A3P2	0.2241071428571429	0.5439965694682676	rgb(101,199,255)	LIM domain-containing protein unc-97.
MS3_08997	6185.A0A095A147	0.9053571428571429	0.6443396226415095	rgb(178,171,0)	Laminin subunit beta-2.
MS3_09318	6185.A0A095A5F3	0.23035714285714287	0.8156946826758148	rgb(101,255,163)	Tyrosine-protein kinase BTK.
MS3_10188	6185.A0A095B398	0.4	0.4853344768439108	rgb(239,234,117)	Integrin-linked protein kinase.
MS3_10940	6185.A0A095BRI5	0.3919642857142857	0.7747855917667239	rgb(117,239,211)	Non-specific protein-tyrosine kinase.
MS3_11012	6185.A0A095B548	0.8035714285714286	0.6574614065180104	rgb(117,239,198)	Uncharacterized protein.
