#node	identifier	node_degree
MS3_00254	6185.A0A094ZGZ0	1
MS3_00256	6185.A0A094ZCZ2	5
MS3_00351	6185.A0A095BTU9	8
MS3_00361	6185.A0A094ZD96	6
MS3_00783	6185.A0A094ZIB4	1
MS3_00852	6185.A0A094ZFZ8	14
MS3_01006	6185.A0A095AG66	2
MS3_01079	6185.A0A095AGB3	7
MS3_01298	6185.A0A095BVY6	11
MS3_01602	6185.A0A095AHJ7	3
MS3_01744	6185.A0A094ZGB5	14
MS3_02183	6185.A0A094ZHK3	7
MS3_02455	6185.A0A094ZIB8	4
MS3_04014	6185.A0A095C2B3	10
MS3_04409	6185.A0A094ZPR3	1
MS3_04420	6185.A0A095APB9	1
MS3_04427	6185.A0A094ZPS9	9
MS3_04616	6185.A0A095APX4	4
MS3_04907	6185.A0A094ZPG8	8
MS3_04979	6185.A0A095C4C1	12
MS3_05026	6185.A0A095AQX5	14
MS3_05316	6185.A0A094ZQH5	3
MS3_05320	6185.A0A094ZV34	3
MS3_05397	6185.A0A094ZQP5	1
MS3_05600	6185.A0A094ZVX7	2
MS3_05634	6185.A0A094ZSZ5	27
MS3_05644	6185.A0A094ZT02	4
MS3_05835	6185.A0A094ZWE3	3
MS3_06212	6185.A0A094ZXG3	3
MS3_06750	6185.A0A095C865	12
MS3_07063	6185.A0A094ZWG6	14
MS3_07220	6185.A0A095A048	10
MS3_07221	6185.A0A095AW46	10
MS3_07374	6185.A0A095AWE8	12
MS3_07408	6185.A0A094ZVS1	5
MS3_08067	6185.A0A094ZXH0	22
MS3_08281	6185.A0A095A2S1	7
MS3_08434	6185.A0A095A335	2
MS3_08642	6185.A0A095A3M6	15
MS3_08655	6185.A0A095A3P2	6
MS3_08997	6185.A0A095A147	1
MS3_09318	6185.A0A095A5F3	4
MS3_10188	6185.A0A095B398	16
MS3_10940	6185.A0A095BRI5	3
MS3_11012	6185.A0A095B548	1
