#node	identifier	x_position	y_position	color	annotation
Act5C	6182.Q5DF69	0.6125	0.427910447761194	rgb(117,239,154)	SJCHGC06318 protein.
EWB00_000274	6182.A0A4Z2DJH5	0.3948770491803279	0.8953731343283582	rgb(255,0,0)	Collagen alpha-1(V) chain isoform 2.
EWB00_001102	6182.A0A4Z2DGT3	0.7001024590163936	0.8058208955223881	rgb(255,175,101)	Collagen alpha-1(IV) chain isoform 1.
EWB00_001311	6182.A0A4Z2DG67	0.3192622950819672	0.8577611940298507	rgb(178,171,0)	Collagen alpha-2(I) chain.
EWB00_001328	6182.A0A4Z2DG14	0.4953893442622951	0.8192537313432836	rgb(187,255,101)	Laminin subunit alpha-1.
EWB00_001408	6182.A0A4Z2DX44	0.8679303278688525	0.3705970149253731	rgb(14,178,0)	Actin-related protein; Belongs to the actin family.
EWB00_001471	6182.A0A4Z2DFS2	0.7720286885245903	0.5595522388059702	rgb(101,255,163)	Tyrosine-protein kinase.
EWB00_001618	6182.A0A4Z2DF74	0.7130122950819673	0.3813432835820895	rgb(0,178,157)	Actin-like protein isoform 3; Belongs to the actin family.
EWB00_002103	6182.A0A4Z2DDE8	0.23719262295081966	0.47000000000000003	rgb(101,199,255)	Fermitin family 1.
EWB00_002502	6182.Q71TT8	0.5710040983606558	0.427910447761194	rgb(0,28,178)	Actin-2 isoform 2.
EWB00_002741	6182.A0A4Z2DB14	0.6503073770491804	0.7780597014925374	rgb(150,101,255)	Laminin subunit beta-2.
EWB00_002775	6182.A0A4Z2DBA8	0.4225409836065574	0.4073134328358209	rgb(239,117,117)	Filamin-A.
EWB00_002869	6182.A0A4Z2DAG8	0.44375	0.6947761194029851	rgb(239,128,117)	Integrin beta.
EWB00_002919	6182.A0A4Z2DWJ9	0.3948770491803279	0.6535820895522388	rgb(239,139,117)	Integrin alpha-5; Belongs to the integrin alpha chain family.
EWB00_003146	6182.A0A4Z2D9E0	0.4668032786885246	0.521044776119403	rgb(239,162,117)	Talin-1.
EWB00_003359	6182.C1LMR7	0.5451844262295082	0.21119402985074626	rgb(239,173,117)	Cofilin/actin-depolymerizing factor; Belongs to the actin-binding proteins ADF family.
EWB00_003429	6182.A0A4Z2DWH7	0.3709016393442623	0.44223880597014925	rgb(239,185,117)	Paxillin isoform 1.
EWB00_003565	6182.A0A4Z2D923	0.4160860655737705	0.4905970149253731	rgb(239,196,117)	Vinculin.
EWB00_003590	6182.A0A4Z2D831	0.1514344262295082	0.21477611940298508	rgb(239,207,117)	Four and a half LIM domains protein.
EWB00_004122	6182.A0A4Z2D6I6	0.1173155737704918	0.5156716417910447	rgb(239,218,117)	LIM domain-containing protein isoform 1.
EWB00_004406	6182.A0A4Z2D5D6	0.6991803278688525	0.6285074626865673	rgb(239,230,117)	Tyrosine-protein kinase.
EWB00_004876	6182.A0A4Z2DUG9	0.5912909836065574	0.45925373134328357	rgb(237,239,117)	Actin-1.
EWB00_004878	6182.A0A4Z2DUX1	0.6272540983606558	0.4664179104477612	rgb(226,239,117)	Actin-1.
