#node	identifier	node_degree
Act5C	6182.Q5DF69	26
EWB00_000274	6182.A0A4Z2DJH5	6
EWB00_001102	6182.A0A4Z2DGT3	8
EWB00_001311	6182.A0A4Z2DG67	6
EWB00_001328	6182.A0A4Z2DG14	19
EWB00_001408	6182.A0A4Z2DX44	8
EWB00_001471	6182.A0A4Z2DFS2	23
EWB00_001618	6182.A0A4Z2DF74	24
EWB00_002103	6182.A0A4Z2DDE8	16
EWB00_002502	6182.Q71TT8	26
EWB00_002741	6182.A0A4Z2DB14	9
EWB00_002775	6182.A0A4Z2DBA8	21
EWB00_002869	6182.A0A4Z2DAG8	37
EWB00_002919	6182.A0A4Z2DWJ9	35
EWB00_003146	6182.A0A4Z2D9E0	32
EWB00_003359	6182.C1LMR7	18
EWB00_003429	6182.A0A4Z2DWH7	31
EWB00_003565	6182.A0A4Z2D923	33
EWB00_003590	6182.A0A4Z2D831	3
EWB00_004122	6182.A0A4Z2D6I6	5
EWB00_004406	6182.A0A4Z2D5D6	20
EWB00_004876	6182.A0A4Z2DUG9	26
EWB00_004878	6182.A0A4Z2DUX1	26
EWB00_004965	6182.A0A4Z2D4A5	17
EWB00_006002	6182.A0A4Z2DTC9	24
EWB00_006050	6182.A0A4Z2DTJ0	28
EWB00_006199	6182.A0A4Z2D0J4	8
EWB00_006200	6182.A0A4Z2CZM0	7
EWB00_006201	6182.A0A4Z2CZR4	7
EWB00_006234	6182.A0A4Z2CZ44	21
EWB00_006505	6182.A0A4Z2CYG9	29
EWB00_006747	6182.A0A4Z2CWY6	10
EWB00_007322	6182.A0A4Z2CUR2	38
EWB00_007395	6182.A0A4Z2CUS5	5
EWB00_007426	6182.C1LJL2	19
EWB00_007520	6182.A0A4Z2CUE7	20
EWB00_008239	6182.A0A4Z2CQY2	5
EWB00_008747	6182.C1LG63	2
EWB00_008857	6182.A0A4Z2DY79	28
EWB00_009161	6182.C1L3T0	21
EWB00_009162	6182.A0A4Z2CMV9	21
EWB00_009541	6182.A0A4Z2DR60	10
EWB00_010398	6182.A0A4Z2DXN3	25
EWB00_010449	6182.A0A4Z2DXL3	5
EWB00_010450	6182.A0A4Z2DXW2	5
EWB00_010647	6182.Q5DHL6	20
EWB00_010649	6182.A0A4Z2DN32	26
EWB00_011039	6182.A0A4Z2DN82	36
FHL-2	6182.C1LEH1	3
TK3	6182.A0A2S1REI0	2
fyn-prov	6182.C1LGZ6	20
tsr	6182.Q86ES4	18
