#node	identifier	x_position	y_position	color	annotation
A0A3Q0KB95	6183.A0A3Q0KB95	0.41679574056147145	0.2702007528230866	rgb(255,0,0)	Filamin.
A0A3Q0KBZ0	6183.A0A3Q0KBZ0	0.6947241045498548	0.7343161856963615	rgb(255,175,101)	Tyrosine-protein kinase.
A0A3Q0KD53	6183.A0A3Q0KD53	0.49956437560503386	0.1346925972396487	rgb(178,171,0)	Pinch, putative.
A0A3Q0KE94	6183.A0A3Q0KE94	0.35145208131655375	0.5039523212045169	rgb(187,255,101)	Putative alpha-actinin.
A0A3Q0KHF0	6183.A0A3Q0KHF0	0.5727492739593417	0.18437892095357594	rgb(14,178,0)	B41 domain-containing protein.
A0A3Q0KIA3	6183.A0A3Q0KIA3	0.4438044530493708	0.45313676286072774	rgb(101,255,163)	Protein kinase.
A0A3Q0KIZ6	6183.A0A3Q0KIZ6	0.6633591481122944	0.47572145545796735	rgb(0,178,157)	Integrin beta; Belongs to the integrin beta chain family.
A0A3Q0KJS3	6183.A0A3Q0KJS3	0.12579864472410457	0.630426599749059	rgb(101,199,255)	Actin-related protein 2; ATP-binding component of the Arp2/3 complex, a multiprotein complex that mediates actin polymerization upon stimulation by nucleation-promoting factor (NPF). The Arp2/3 complex mediates the formation of branched actin networks in the cytoplasm, providing the force for cell motility. Seems to contact the pointed end of the daughter actin filament.
A0A3Q0KKN8	6183.A0A3Q0KKN8	0.7435140367860601	0.14937264742785444	rgb(0,28,178)	Putative collagen alpha-1(V) chain.
A0A3Q0KL07	6183.A0A3Q0KL07	0.6389641819941917	0.5525094102885822	rgb(150,101,255)	Alpha integrin receptor 1; Putative integrin alpha; Belongs to the integrin alpha chain family.
A0A3Q0KLP6	6183.A0A3Q0KLP6	0.4681994191674734	0.5287954830614805	rgb(239,117,117)	Putative alpha catenin.
A0A3Q0KME1	6183.A0A3Q0KME1	0.6894966118102615	0.10646173149309912	rgb(239,128,117)	Putative collagen alpha-1(I) chain.
A0A3Q0KMP3	6183.A0A3Q0KMP3	0.5788480154888674	0.7286700125470515	rgb(239,139,117)	Tyrosine kinase.
A0A3Q0KMQ4	6183.A0A3Q0KMQ4	0.6807841239109391	0.8088456712672523	rgb(239,150,117)	Tyrosine-protein kinase.
A0A3Q0KNU4	6183.A0A3Q0KNU4	0.8410939012584706	0.8991844416562109	rgb(239,161,117)	Putative four and A half lim domains.
A0A3Q0KQT0	6183.A0A3Q0KQT0	0.4899806389157793	0.7196361355081556	rgb(239,172,117)	Putative lim domain.
A0A3Q0KRT5	6183.A0A3Q0KRT5	0.5997579864472411	0.36279799247176914	rgb(239,183,117)	LIM domain-containing protein.
A0A3Q0KS63	6183.A0A3Q0KS63	0.861132623426912	0.3142409033877039	rgb(239,194,117)	Putative collagen alpha-1(V) chain.
A0A3Q0KS78	6183.A0A3Q0KS78	0.4368344627299129	0.35263488080301125	rgb(239,205,117)	Putative talin.
A0A3Q0KT01	6183.A0A3Q0KT01	0.5936592449177155	0.8765997490589712	rgb(239,217,117)	Tyrosine-protein kinase.
A0A3Q0KUI3	6183.A0A3Q0KUI3	0.8480638915779284	0.7873902132998746	rgb(239,228,117)	Fibrillar collagen NC1 domain-containing protein.
A0A3Q0KUT3	6183.A0A3Q0KUT3	0.29220716360116167	0.6530112923462986	rgb(239,239,117)	Uncharacterized protein.
A0A3Q0KUY4	6183.A0A3Q0KUY4	0.27478218780251695	0.5807402760351318	rgb(229,239,117)	Smp_202970.
A0A3Q0KVD3	6183.A0A3Q0KVD3	0.643320425943853	0.8574027603513175	rgb(217,239,117)	Tyrosine-protein kinase.
A0A3Q0KVF2	6183.A0A3Q0KVF2	0.1684898354307841	0.7297992471769135	rgb(206,239,117)	Prolyl oligopeptidase (S09 family); Belongs to the actin family.
A0A5K4ENU1	6183.A0A5K4ENU1	0.08833494675701839	0.8675658720200753	rgb(195,239,117)	Actin-like protein.
A0A5K4EV73	6183.A0A5K4EV73	0.828025169409487	0.25439146800501883	rgb(184,239,117)	Putative collagen alpha chain.
A0A5K4EZW0	6183.A0A5K4EZW0	0.9046950629235239	0.6394604767879549	rgb(173,239,117)	Uncharacterized protein.
A0A5K4F186	6183.A0A5K4F186	0.3889157792836399	0.14824341279799247	rgb(162,239,117)	Uncharacterized protein.
A0A5K4F2D8	6183.A0A5K4F2D8	0.38368828654404646	0.4249058971141782	rgb(151,239,117)	Uncharacterized protein.
A0A5K4F2I7	6183.A0A5K4F2I7	0.9003388189738626	0.4497490589711418	rgb(140,239,117)	Uncharacterized protein.
A0A5K4F492	6183.A0A5K4F492	0.5230880929332044	0.29730238393977415	rgb(129,239,117)	Filamin-related.
A0A5K4F4I2	6183.A0A5K4F4I2	0.6006292352371734	0.6146173149309914	rgb(118,239,117)	Integrin.
A0A5K4F5L7	6183.A0A5K4F5L7	0.4516456921587609	0.6643036386449186	rgb(117,239,127)	Uncharacterized protein.
A0A5K4FCV3	6183.A0A5K4FCV3	0.5326718296224588	0.5197616060225847	rgb(117,239,138)	Putative talin.
A0A5K4FDV5	6183.A0A5K4FDV5	0.761810261374637	0.6055834378920953	rgb(117,239,149)	Uncharacterized protein.
A0A5K4FDX2	6183.A0A5K4FDX2	0.7896902226524686	0.1979297365119197	rgb(117,239,160)	Putative collagen alpha-1(V) chain.
ACT1_SCHMA	6183.P53470	0.3645208131655373	0.69930991217064	rgb(117,152,239)	Actin-1; Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells; Belongs to the actin family.
ACT2_SCHMA	6183.P53471	0.3392545982575024	0.6213927227101632	rgb(117,141,239)	Actin-2; Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells; Belongs to the actin family.
B1AAM6_SCHMA	6183.B1AAM6	0.2765246853823814	0.28939774153074027	rgb(117,239,171)	LIMPETin; Putative four and A half lim domains.
Smp_014780.2	6183.G4VBW4	0.4080832526621491	0.8223964868255961	rgb(117,230,239)	Putative alpha-actinin.
Smp_053420	6183.G4VRK9	0.48388189738625365	0.3390840652446675	rgb(117,163,239)	PH domain-containing protein.
Smp_063040	6183.G4LXV8	0.18068731848983544	0.6609159347553325	rgb(117,239,216)	Actin-like protein 6, acl6; Belongs to the actin family.
Smp_072870	6183.G4LW08	0.2469022265246854	0.8031994981179423	rgb(117,239,182)	Actin, putative; Belongs to the actin family.
Smp_077850	6183.G4VL76	0.19288480154888676	0.4542659974905897	rgb(117,196,239)	Putative actin; Belongs to the actin family.
Smp_077860	6183.G4VL77	0.2373184898354308	0.38425345043914677	rgb(117,185,239)	Putative actin; Belongs to the actin family.
Smp_086590	6183.G4VGX1	0.30614714424007744	0.8991844416562109	rgb(117,207,239)	Putative actin-depolymerizing factor; Belongs to the actin-binding proteins ADF family.
Smp_093230	6183.G4V8Q5	0.1440948693126815	0.48588456712672523	rgb(117,239,238)	Actin-related protein 10, arp10; Belongs to the actin family.
Smp_120700.1	6183.G4LX89	0.2617134559535334	0.886762860727729	rgb(117,239,205)	Cofilin, actophorin, putative; Belongs to the actin-binding proteins ADF family.
Smp_148790	6183.G4LWP4	0.8358664085188771	0.6710790464240904	rgb(117,239,193)	Laminin beta chain-related.
Smp_170340	6183.G4V8A8	0.9064375605033882	0.5479924717691342	rgb(117,239,227)	Putative collagen alpha-1(V) chain.
Smp_183710	6183.G4VLW1	0.3531945788964182	0.6631744040150566	rgb(117,174,239)	Putative actin.
Smp_197370	6183.G4VFE1	0.8803000968054212	0.3853826850690088	rgb(117,218,239)	Fibrillar collagen NC1 domain-containing protein.
