#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A0A3Q0KB95	A0A3Q0KUT3	6183.A0A3Q0KB95	6183.A0A3Q0KUT3	0	0	0	0	0	0.175	0.237	0.154	0.420
A0A3Q0KB95	A0A3Q0KUY4	6183.A0A3Q0KB95	6183.A0A3Q0KUY4	0	0	0	0	0	0.175	0.237	0.154	0.420
A0A3Q0KB95	A0A5K4F2D8	6183.A0A3Q0KB95	6183.A0A5K4F2D8	0	0	0	0	0.170	0	0.237	0.164	0.424
A0A3Q0KB95	A0A5K4FCV3	6183.A0A3Q0KB95	6183.A0A5K4FCV3	0	0	0	0	0.168	0	0.245	0.166	0.430
A0A3Q0KB95	Smp_183710	6183.A0A3Q0KB95	6183.G4VLW1	0	0	0	0	0.045	0.201	0.240	0.198	0.472
A0A3Q0KB95	ACT1_SCHMA	6183.A0A3Q0KB95	6183.P53470	0	0	0	0	0.045	0.201	0.240	0.198	0.472
A0A3Q0KB95	ACT2_SCHMA	6183.A0A3Q0KB95	6183.P53471	0	0	0	0	0.045	0.201	0.240	0.198	0.472
A0A3Q0KB95	A0A5K4F186	6183.A0A3Q0KB95	6183.A0A5K4F186	0	0	0	0	0.051	0.184	0.374	0.086	0.497
A0A3Q0KB95	A0A3Q0KIZ6	6183.A0A3Q0KB95	6183.A0A3Q0KIZ6	0	0	0	0	0	0.485	0	0.166	0.552
A0A3Q0KBZ0	A0A3Q0KIZ6	6183.A0A3Q0KBZ0	6183.A0A3Q0KIZ6	0	0	0	0	0.046	0.192	0.344	0.397	0.654
A0A3Q0KBZ0	A0A3Q0KMP3	6183.A0A3Q0KBZ0	6183.A0A3Q0KMP3	0	0	0	0	0.051	0.457	0.448	0.105	0.711
A0A3Q0KBZ0	A0A5K4F5L7	6183.A0A3Q0KBZ0	6183.A0A5K4F5L7	0	0	0	0	0	0.290	0.504	0.256	0.715
A0A3Q0KD53	A0A3Q0KIZ6	6183.A0A3Q0KD53	6183.A0A3Q0KIZ6	0	0	0	0	0	0.056	0	0.484	0.492
A0A3Q0KD53	A0A3Q0KHF0	6183.A0A3Q0KD53	6183.A0A3Q0KHF0	0	0	0	0	0.113	0.403	0	0.371	0.637
A0A3Q0KD53	Smp_053420	6183.A0A3Q0KD53	6183.G4VRK9	0	0	0	0	0.113	0.403	0	0.371	0.637
A0A3Q0KD53	A0A3Q0KIA3	6183.A0A3Q0KD53	6183.A0A3Q0KIA3	0	0	0	0	0.163	0.831	0.507	0.629	0.970
A0A3Q0KE94	A0A3Q0KVF2	6183.A0A3Q0KE94	6183.A0A3Q0KVF2	0	0	0	0	0	0.173	0.152	0.215	0.401
A0A3Q0KE94	A0A3Q0KJS3	6183.A0A3Q0KE94	6183.A0A3Q0KJS3	0	0	0	0	0.045	0.173	0.152	0.215	0.403
A0A3Q0KE94	A0A3Q0KLP6	6183.A0A3Q0KE94	6183.A0A3Q0KLP6	0	0	0	0	0.081	0.414	0	0.118	0.483
A0A3Q0KE94	Smp_120700.1	6183.A0A3Q0KE94	6183.G4LX89	0	0	0	0	0	0.055	0	0.486	0.493
A0A3Q0KE94	Smp_086590	6183.A0A3Q0KE94	6183.G4VGX1	0	0	0	0	0	0.055	0	0.486	0.493
A0A3Q0KE94	A0A5K4FCV3	6183.A0A3Q0KE94	6183.A0A5K4FCV3	0	0	0	0	0.096	0.081	0	0.484	0.533
A0A3Q0KE94	Smp_063040	6183.A0A3Q0KE94	6183.G4LXV8	0	0	0	0	0	0.173	0.152	0.409	0.549
A0A3Q0KE94	A0A3Q0KRT5	6183.A0A3Q0KE94	6183.A0A3Q0KRT5	0	0	0	0	0	0.055	0	0.629	0.634
A0A3Q0KE94	Smp_072870	6183.A0A3Q0KE94	6183.G4LW08	0	0	0	0	0.059	0.428	0.237	0.234	0.643
A0A3Q0KE94	Smp_053420	6183.A0A3Q0KE94	6183.G4VRK9	0	0	0	0	0	0.112	0.159	0.623	0.693
A0A3Q0KE94	A0A3Q0KIZ6	6183.A0A3Q0KE94	6183.A0A3Q0KIZ6	0	0	0	0	0	0.236	0	0.621	0.698
A0A3Q0KE94	A0A3Q0KUT3	6183.A0A3Q0KE94	6183.A0A3Q0KUT3	0	0	0	0	0.069	0.436	0.271	0.368	0.725
A0A3Q0KE94	A0A3Q0KUY4	6183.A0A3Q0KE94	6183.A0A3Q0KUY4	0	0	0	0	0.069	0.436	0.271	0.368	0.725
A0A3Q0KE94	A0A3Q0KIA3	6183.A0A3Q0KE94	6183.A0A3Q0KIA3	0	0	0	0	0	0.067	0.083	0.739	0.757
A0A3Q0KE94	A0A5K4F2D8	6183.A0A3Q0KE94	6183.A0A5K4F2D8	0	0	0	0	0.176	0.616	0	0.490	0.824
A0A3Q0KE94	A0A5K4F5L7	6183.A0A3Q0KE94	6183.A0A5K4F5L7	0	0	0	0	0.072	0.278	0	0.784	0.842
A0A3Q0KE94	Smp_183710	6183.A0A3Q0KE94	6183.G4VLW1	0	0	0	0	0.071	0.541	0.364	0.488	0.842
A0A3Q0KE94	ACT1_SCHMA	6183.A0A3Q0KE94	6183.P53470	0	0	0	0	0.071	0.541	0.364	0.488	0.842
A0A3Q0KE94	ACT2_SCHMA	6183.A0A3Q0KE94	6183.P53471	0	0	0	0	0.071	0.541	0.364	0.488	0.842
A0A3Q0KE94	A0A3Q0KQT0	6183.A0A3Q0KE94	6183.A0A3Q0KQT0	0	0	0	0	0.157	0.929	0	0.641	0.976
A0A3Q0KHF0	A0A3Q0KRT5	6183.A0A3Q0KHF0	6183.A0A3Q0KRT5	0	0	0	0	0.113	0.403	0	0.371	0.637
A0A3Q0KHF0	A0A5K4F186	6183.A0A3Q0KHF0	6183.A0A5K4F186	0	0	0	0	0	0.233	0.500	0.291	0.704
A0A3Q0KHF0	A0A3Q0KIZ6	6183.A0A3Q0KHF0	6183.A0A3Q0KIZ6	0	0	0	0	0.061	0.476	0.248	0.560	0.815
A0A3Q0KHF0	A0A3Q0KIA3	6183.A0A3Q0KHF0	6183.A0A3Q0KIA3	0	0	0	0	0.075	0.828	0	0.624	0.934
A0A3Q0KIA3	A0A3Q0KUT3	6183.A0A3Q0KIA3	6183.A0A3Q0KUT3	0	0	0	0	0	0.112	0.079	0.367	0.437
A0A3Q0KIA3	A0A3Q0KUY4	6183.A0A3Q0KIA3	6183.A0A3Q0KUY4	0	0	0	0	0	0.112	0.079	0.367	0.437
A0A3Q0KIA3	Smp_077850	6183.A0A3Q0KIA3	6183.G4VL76	0	0	0	0	0	0.112	0.079	0.367	0.437
