#node	identifier	node_degree
A0A3Q0KB95	6183.A0A3Q0KB95	9
A0A3Q0KBZ0	6183.A0A3Q0KBZ0	3
A0A3Q0KD53	6183.A0A3Q0KD53	4
A0A3Q0KE94	6183.A0A3Q0KE94	20
A0A3Q0KHF0	6183.A0A3Q0KHF0	5
A0A3Q0KIA3	6183.A0A3Q0KIA3	23
A0A3Q0KIZ6	6183.A0A3Q0KIZ6	39
A0A3Q0KJS3	6183.A0A3Q0KJS3	14
A0A3Q0KKN8	6183.A0A3Q0KKN8	1
A0A3Q0KL07	6183.A0A3Q0KL07	13
A0A3Q0KLP6	6183.A0A3Q0KLP6	17
A0A3Q0KME1	6183.A0A3Q0KME1	1
A0A3Q0KMP3	6183.A0A3Q0KMP3	17
A0A3Q0KMQ4	6183.A0A3Q0KMQ4	3
A0A3Q0KNU4	6183.A0A3Q0KNU4	0
A0A3Q0KQT0	6183.A0A3Q0KQT0	16
A0A3Q0KRT5	6183.A0A3Q0KRT5	10
A0A3Q0KS63	6183.A0A3Q0KS63	1
A0A3Q0KS78	6183.A0A3Q0KS78	10
A0A3Q0KT01	6183.A0A3Q0KT01	3
A0A3Q0KUI3	6183.A0A3Q0KUI3	1
A0A3Q0KUT3	6183.A0A3Q0KUT3	18
A0A3Q0KUY4	6183.A0A3Q0KUY4	18
A0A3Q0KVD3	6183.A0A3Q0KVD3	3
A0A3Q0KVF2	6183.A0A3Q0KVF2	16
A0A5K4ENU1	6183.A0A5K4ENU1	8
A0A5K4EV73	6183.A0A5K4EV73	1
A0A5K4EZW0	6183.A0A5K4EZW0	1
A0A5K4F186	6183.A0A5K4F186	6
A0A5K4F2D8	6183.A0A5K4F2D8	20
A0A5K4F2I7	6183.A0A5K4F2I7	2
A0A5K4F492	6183.A0A5K4F492	9
A0A5K4F4I2	6183.A0A5K4F4I2	14
A0A5K4F5L7	6183.A0A5K4F5L7	28
A0A5K4FCV3	6183.A0A5K4FCV3	20
A0A5K4FDV5	6183.A0A5K4FDV5	5
A0A5K4FDX2	6183.A0A5K4FDX2	1
ACT1_SCHMA	6183.P53470	20
ACT2_SCHMA	6183.P53471	20
B1AAM6_SCHMA	6183.B1AAM6	0
Smp_014780.2	6183.G4VBW4	14
Smp_053420	6183.G4VRK9	14
Smp_063040	6183.G4LXV8	14
Smp_072870	6183.G4LW08	16
Smp_077850	6183.G4VL76	6
Smp_077860	6183.G4VL77	7
Smp_086590	6183.G4VGX1	11
Smp_093230	6183.G4V8Q5	10
Smp_120700.1	6183.G4LX89	11
Smp_148790	6183.G4LWP4	2
Smp_170340	6183.G4V8A8	2
Smp_183710	6183.G4VLW1	20
Smp_197370	6183.G4VFE1	1
