family	orthogroup	basis
Integrin α	OG0000401	User-specified family grouping
Integrin α	OG0001220	User-specified family grouping
Kindlin	OG0001282	User-specified family grouping
Kindlin	OG0013508	User-specified family grouping
Src	OG0000213	User-specified family grouping
Src	OG0001055	User-specified family grouping
Src	OG0003193	User-specified family grouping
PTP-PEST	OG0001988	User-specified family grouping
PTP-PEST	OG0002082	User-specified family grouping
PTP-PEST	OG0010632	User-specified family grouping
PTP-PEST	OG0007341	User-specified family grouping
Paxillin	OG0000150	User-specified family grouping
Paxillin	OG0000730	User-specified family grouping
Paxillin	OG0002006	User-specified family grouping
Paxillin	OG0002150	User-specified family grouping
Paxillin	OG0013668	User-specified family grouping
FAK	OG0002086	Workbook assigned_family = FAK
ILK	OG0003976	Workbook assigned_family = ILK
