#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-3B342CFC10A60D52-15DD9710BB02EE2C
#datatype	hitsFull Results
#status	0
#Start time	2026-09-19T18:34:27	Run time	0:00:02:12
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >Shae__MS3_00000278	specific	340610	88	198	3.66859e-48	168.285	cd17090	FERM_F1_TLN	 - 	cl28922
Q#1 - >Shae__MS3_00000278	superfamily	475130	88	198	3.66859e-48	168.285	cl28922	Ubl1_cv_Nsp3_N-like superfamily	 - 	 - 
Q#1 - >Shae__MS3_00000278	specific	269973	311	403	9.19451e-47	163.281	cd10569	FERM_C_Talin	 - 	cl17171
Q#1 - >Shae__MS3_00000278	superfamily	473070	311	403	9.19451e-47	163.281	cl17171	PH-like superfamily	 - 	 - 
Q#1 - >Shae__MS3_00000278	specific	214604	90	315	3.4996e-45	163.235	smart00295	B41	 - 	cl33382
Q#1 - >Shae__MS3_00000278	superfamily	214604	90	315	3.4996e-45	163.235	cl33382	B41 superfamily	 - 	 - 
Q#1 - >Shae__MS3_00000278	non-specific	340693	88	198	7.04277e-39	141.778	cd17173	FERM_F1_TLN1	 - 	cl28922
Q#1 - >Shae__MS3_00000278	specific	340609	4	87	8.68872e-37	134.692	cd17089	FERM_F0_TLN	 - 	cl28922
Q#1 - >Shae__MS3_00000278	superfamily	475130	4	87	8.68872e-37	134.692	cl28922	Ubl1_cv_Nsp3_N-like superfamily	 - 	 - 
Q#1 - >Shae__MS3_00000278	non-specific	340694	92	198	1.44504e-36	135.163	cd17174	FERM_F1_TLN2	 - 	cl28922
Q#1 - >Shae__MS3_00000278	specific	459788	202	315	4.41601e-33	125.074	pfam00373	FERM_M	 - 	cl47539
Q#1 - >Shae__MS3_00000278	superfamily	459788	202	315	4.41601e-33	125.074	cl47539	FERM_M superfamily	 - 	 - 
Q#1 - >Shae__MS3_00000278	non-specific	214607	3019	3240	6.19523e-30	119.394	smart00307	ILWEQ	 - 	cl47033
Q#1 - >Shae__MS3_00000278	superfamily	214607	3019	3240	6.19523e-30	119.394	cl47033	ILWEQ superfamily	 - 	 - 
Q#1 - >Shae__MS3_00000278	non-specific	462691	519	723	4.71014e-25	103.904	pfam09141	Talin_middle	 - 	cl07673
Q#1 - >Shae__MS3_00000278	superfamily	462691	519	723	4.71014e-25	103.904	cl07673	Talin_middle superfamily	 - 	 - 
Q#1 - >Shae__MS3_00000278	specific	460265	3067	3241	2.05178e-24	101.507	pfam01608	I_LWEQ	 - 	cl47685
Q#1 - >Shae__MS3_00000278	superfamily	460265	3067	3241	2.05178e-24	101.507	cl47685	I_LWEQ superfamily	 - 	 - 
Q#1 - >Shae__MS3_00000278	specific	271216	212	307	4.18756e-23	96.1614	cd14473	FERM_B-lobe	 - 	cl46853
Q#1 - >Shae__MS3_00000278	superfamily	481193	212	307	4.18756e-23	96.1614	cl46853	FERM_B-lobe superfamily	 - 	 - 
Q#1 - >Shae__MS3_00000278	non-specific	465152	5	84	3.48066e-15	73.0746	pfam16511	FERM_f0	 - 	cl24923
Q#1 - >Shae__MS3_00000278	superfamily	465152	5	84	3.48066e-15	73.0746	cl24923	FERM_f0 superfamily	 - 	 - 
Q#1 - >Shae__MS3_00000278	non-specific	340691	2	86	7.01326e-11	60.749	cd17171	FERM_F0_TLN1	 - 	cl28922
Q#1 - >Shae__MS3_00000278	non-specific	275389	311	403	2.62671e-08	53.918	cd00836	FERM_C-lobe	 - 	cl17171
Q#1 - >Shae__MS3_00000278	non-specific	340692	18	86	1.13459e-07	51.5507	cd17172	FERM_F0_TLN2	 - 	cl28922
Q#1 - >Shae__MS3_00000278	non-specific	213393	2041	2219	2.81032e-07	53.0256	cd12150	talin-RS	 - 	cl17094
Q#1 - >Shae__MS3_00000278	superfamily	213393	2041	2219	2.81032e-07	53.0256	cl17094	talin-RS superfamily	 - 	 - 
Q#1 - >Shae__MS3_00000278	non-specific	460473	334	398	6.65616e-05	44.1613	pfam02174	IRS	N	cl47726
Q#1 - >Shae__MS3_00000278	superfamily	460473	334	398	6.65616e-05	44.1613	cl47726	IRS superfamily	N	 - 
Q#1 - >Shae__MS3_00000278	non-specific	340616	86	199	0.000346119	41.8824	cd17096	FERM_F1_kindlins	 - 	cl28922
Q#1 - >Shae__MS3_00000278	non-specific	340464	88	198	0.000376878	41.4192	cd01765	FERM_F0_F1	 - 	cl28922
Q#1 - >Shae__MS3_00000278	non-specific	270020	311	407	0.000961632	40.703	cd13199	FERM_C2_MyoVII	 - 	cl17171
Q#1 - >Shae__MS3_00000278	non-specific	270026	310	361	0.00221796	39.6331	cd13205	FERM_C_fermitin	C	cl17171
Q#1 - >Shae__MS3_00000278	non-specific	197644	353	395	0.00284451	39.7016	smart00310	PTBI	N	cl17171
Q#1 - >Shae__MS3_00000278	non-specific	340612	86	125	0.00468013	39.1601	cd17092	FERM1_F1_Myosin-VII	C	cl28922
Q#2 - >Shae__MS3_00000359	non-specific	466823	183	375	3.03344e-110	330.481	cd10224	ASKHA_NBD_actin	C	cl49607
Q#2 - >Shae__MS3_00000359	superfamily	483947	183	375	3.03344e-110	330.481	cl49607	ASKHA_ATPase-like superfamily	C	 - 
Q#2 - >Shae__MS3_00000359	non-specific	466848	183	373	2.42071e-92	284.464	cd13397	ASKHA_NBD_actin_Arp-T1-3	C	cl49607
Q#2 - >Shae__MS3_00000359	non-specific	173506	179	375	3.0469e-91	282.359	PTZ00281	PTZ00281	C	cl49607
Q#2 - >Shae__MS3_00000359	non-specific	240225	177	373	4.88421e-80	253.538	PTZ00004	PTZ00004	C	cl49607
Q#2 - >Shae__MS3_00000359	specific	214592	186	373	1.37105e-66	218.281	smart00268	ACTIN	C	cl49607
Q#2 - >Shae__MS3_00000359	non-specific	466820	186	374	8.14389e-65	213.561	cd10216	ASKHA_NBD_Arp1	C	cl49607
Q#2 - >Shae__MS3_00000359	non-specific	394979	182	371	2.93849e-56	192.134	pfam00022	Actin	C	cl49607
Q#2 - >Shae__MS3_00000359	non-specific	466821	186	382	2.66836e-50	175.83	cd10220	ASKHA_NBD_Arp2	C	cl49607
Q#2 - >Shae__MS3_00000359	non-specific	240426	186	373	4.23169e-50	175.132	PTZ00466	PTZ00466	C	cl49607
Q#2 - >Shae__MS3_00000359	non-specific	185631	184	375	5.46149e-50	174.943	PTZ00452	PTZ00452	C	cl49607
Q#2 - >Shae__MS3_00000359	non-specific	466810	246	385	9.83755e-47	162.661	cd10169	ASKHA_NBD_actin-like	C	cl49607
Q#2 - >Shae__MS3_00000359	non-specific	466819	180	373	2.93797e-45	161.822	cd10214	ASKHA_NBD_ACTL7	C	cl49607
Q#2 - >Shae__MS3_00000359	non-specific	240343	184	373	8.3863e-41	151.038	PTZ00280	PTZ00280	C	cl29668
Q#2 - >Shae__MS3_00000359	superfamily	240343	184	373	8.3863e-41	151.038	cl29668	PTZ00280 superfamily	C	 - 
Q#2 - >Shae__MS3_00000359	non-specific	466822	184	369	9.50975e-41	150.412	cd10221	ASKHA_NBD_Arp3-like	C	cl49607
Q#2 - >Shae__MS3_00000359	non-specific	444088	205	373	2.05071e-33	130.68	COG5277	COG5277	C	cl44206
Q#2 - >Shae__MS3_00000359	superfamily	444088	205	373	2.05071e-33	130.68	cl44206	COG5277 superfamily	C	 - 
Q#2 - >Shae__MS3_00000359	non-specific	466846	180	371	1.13847e-27	114.2	cd13395	ASKHA_NBD_Arp4_ACTL6-like	C	cl49607
Q#2 - >Shae__MS3_00000359	non-specific	466815	209	373	1.19183e-17	83.9782	cd10209	ASKHA_NBD_AtARP7-like	C	cl49607
Q#2 - >Shae__MS3_00000359	non-specific	466817	186	369	9.56165e-14	72.2202	cd10211	ASKHA_NBD_Arp5	C	cl49607
Q#2 - >Shae__MS3_00000359	non-specific	461634	388	443	1.4417e-13	68.3087	pfam05380	Peptidase_A17	N	cl05112
Q#2 - >Shae__MS3_00000359	superfamily	461634	388	443	1.4417e-13	68.3087	cl05112	Peptidase_A17 superfamily	N	 - 
Q#2 - >Shae__MS3_00000359	non-specific	466814	246	371	1.76434e-10	62.3244	cd10208	ASKHA_NBD_ScArp9-like	C	cl49607
Q#2 - >Shae__MS3_00000359	non-specific	466816	186	361	1.75666e-08	56.405	cd10210	ASKHA_NBD_Arp6	C	cl49607
Q#2 - >Shae__MS3_00000359	non-specific	466813	263	373	1.20264e-06	50.3288	cd10207	ASKHA_NBD_Arp10	C	cl49607
Q#2 - >Shae__MS3_00000359	non-specific	466847	304	347	5.80809e-05	45.2282	cd13396	ASKHA_NBD_AtArp8-like	NC	cl49607
Q#3 - >Shae__MS3_00000487	specific	459653	35	268	6.04413e-79	260.208	pfam00055	Laminin_N	 - 	cl02806
Q#3 - >Shae__MS3_00000487	superfamily	470680	35	268	6.04413e-79	260.208	cl02806	Laminin_N superfamily	 - 	 - 
Q#3 - >Shae__MS3_00000487	non-specific	214532	29	268	1.32846e-53	187.953	smart00136	LamNT	 - 	cl02806
Q#3 - >Shae__MS3_00000487	non-specific	275316	1118	1730	4.98008e-17	87.3832	TIGR04523	Mplasa_alph_rch	 - 	cl37461
Q#3 - >Shae__MS3_00000487	superfamily	275316	1118	1730	4.98008e-17	87.3832	cl37461	Mplasa_alph_rch superfamily	 - 	 - 
Q#3 - >Shae__MS3_00000487	specific	395007	715	763	9.18088e-13	64.2968	pfam00053	Laminin_EGF	 - 	cl21504
Q#3 - >Shae__MS3_00000487	superfamily	473889	715	763	9.18088e-13	64.2968	cl21504	EGF_CA superfamily	 - 	 - 
Q#3 - >Shae__MS3_00000487	specific	214543	715	760	1.04786e-12	63.8695	smart00180	EGF_Lam	 - 	cl21504
Q#3 - >Shae__MS3_00000487	non-specific	275316	1213	1748	3.15204e-12	71.59	TIGR04523	Mplasa_alph_rch	C	cl37461
Q#3 - >Shae__MS3_00000487	specific	238012	714	759	7.31755e-12	61.6014	cd00055	EGF_Lam	 - 	cl21504
Q#3 - >Shae__MS3_00000487	specific	238012	1015	1064	8.39034e-12	61.6014	cd00055	EGF_Lam	 - 	cl21504
Q#3 - >Shae__MS3_00000487	superfamily	473889	1015	1064	8.39034e-12	61.6014	cl21504	EGF_CA superfamily	 - 	 - 
Q#3 - >Shae__MS3_00000487	specific	395007	763	811	2.49538e-11	60.0596	pfam00053	Laminin_EGF	 - 	cl21504
Q#3 - >Shae__MS3_00000487	superfamily	473889	763	811	2.49538e-11	60.0596	cl21504	EGF_CA superfamily	 - 	 - 
Q#3 - >Shae__MS3_00000487	specific	238012	456	506	6.04309e-11	58.905	cd00055	EGF_Lam	 - 	cl21504
Q#3 - >Shae__MS3_00000487	superfamily	473889	456	506	6.04309e-11	58.905	cl21504	EGF_CA superfamily	 - 	 - 
Q#3 - >Shae__MS3_00000487	non-specific	130673	1118	1728	1.75508e-10	66.6135	TIGR01612	235kDa-fam	NC	cl31124
Q#3 - >Shae__MS3_00000487	superfamily	130673	1118	1728	1.75508e-10	66.6135	cl31124	235kDa-fam superfamily	NC	 - 
Q#3 - >Shae__MS3_00000487	specific	395007	1016	1063	2.99032e-10	56.978	pfam00053	Laminin_EGF	 - 	cl21504
Q#3 - >Shae__MS3_00000487	specific	238012	763	804	4.14895e-10	56.5938	cd00055	EGF_Lam	 - 	cl21504
Q#3 - >Shae__MS3_00000487	specific	395007	912	966	1.77426e-09	55.052	pfam00053	Laminin_EGF	 - 	cl21504
Q#3 - >Shae__MS3_00000487	superfamily	473889	912	966	1.77426e-09	55.052	cl21504	EGF_CA superfamily	 - 	 - 
Q#3 - >Shae__MS3_00000487	specific	395007	964	1013	2.33358e-09	54.6668	pfam00053	Laminin_EGF	 - 	cl21504
Q#3 - >Shae__MS3_00000487	superfamily	473889	964	1013	2.33358e-09	54.6668	cl21504	EGF_CA superfamily	 - 	 - 
Q#3 - >Shae__MS3_00000487	specific	238012	963	1014	2.36764e-09	54.6678	cd00055	EGF_Lam	 - 	cl21504
Q#3 - >Shae__MS3_00000487	specific	238012	911	958	2.53553e-09	54.2826	cd00055	EGF_Lam	 - 	cl21504
Q#3 - >Shae__MS3_00000487	specific	395007	457	505	2.95145e-09	54.2816	pfam00053	Laminin_EGF	 - 	cl21504
Q#3 - >Shae__MS3_00000487	specific	238012	1065	1105	3.33495e-09	54.2826	cd00055	EGF_Lam	 - 	cl21504
Q#3 - >Shae__MS3_00000487	superfamily	473889	1065	1105	3.33495e-09	54.2826	cl21504	EGF_CA superfamily	 - 	 - 
Q#3 - >Shae__MS3_00000487	specific	214543	763	806	3.71441e-09	53.8543	smart00180	EGF_Lam	 - 	cl21504
Q#3 - >Shae__MS3_00000487	specific	395007	1066	1114	6.39561e-09	53.126	pfam00053	Laminin_EGF	 - 	cl21504
Q#3 - >Shae__MS3_00000487	specific	214543	964	1013	7.73987e-09	53.0839	smart00180	EGF_Lam	 - 	cl21504
Q#3 - >Shae__MS3_00000487	specific	214543	1016	1063	7.81602e-09	53.0839	smart00180	EGF_Lam	 - 	cl21504
Q#3 - >Shae__MS3_00000487	specific	395007	397	454	1.18514e-08	52.3556	pfam00053	Laminin_EGF	 - 	cl21504
Q#3 - >Shae__MS3_00000487	superfamily	473889	397	454	1.18514e-08	52.3556	cl21504	EGF_CA superfamily	 - 	 - 
Q#3 - >Shae__MS3_00000487	specific	238012	808	855	1.40642e-08	52.3566	cd00055	EGF_Lam	 - 	cl21504
Q#3 - >Shae__MS3_00000487	superfamily	473889	808	855	1.40642e-08	52.3566	cl21504	EGF_CA superfamily	 - 	 - 
Q#3 - >Shae__MS3_00000487	specific	214543	457	505	1.69402e-08	51.9283	smart00180	EGF_Lam	 - 	cl21504
Q#3 - >Shae__MS3_00000487	specific	214543	1066	1102	2.45775e-08	51.5431	smart00180	EGF_Lam	C	cl21504
Q#3 - >Shae__MS3_00000487	non-specific	443574	1437	1697	4.95541e-08	57.9299	COG4477	EzrA	N	cl34766
Q#3 - >Shae__MS3_00000487	superfamily	443574	1437	1697	4.95541e-08	57.9299	cl34766	EzrA superfamily	N	 - 
Q#3 - >Shae__MS3_00000487	specific	238012	396	455	9.49972e-08	50.0454	cd00055	EGF_Lam	 - 	cl21504
Q#3 - >Shae__MS3_00000487	non-specific	443752	1128	1589	1.4276e-07	56.3145	COG4717	YhaN	 - 	cl34808
Q#3 - >Shae__MS3_00000487	superfamily	443752	1128	1589	1.4276e-07	56.3145	cl34808	YhaN superfamily	 - 	 - 
Q#3 - >Shae__MS3_00000487	non-specific	222878	1429	1665	1.63289e-07	56.1761	PHA02562	46	NC	cl33686
Q#3 - >Shae__MS3_00000487	superfamily	222878	1429	1665	1.63289e-07	56.1761	cl33686	46 superfamily	NC	 - 
Q#3 - >Shae__MS3_00000487	specific	395007	809	857	4.53721e-07	48.1184	pfam00053	Laminin_EGF	 - 	cl21504
Q#3 - >Shae__MS3_00000487	specific	214543	397	454	6.4871e-07	47.6911	smart00180	EGF_Lam	 - 	cl21504
Q#3 - >Shae__MS3_00000487	non-specific	443500	1478	1745	1.05862e-06	52.9822	COG4372	COG4372	 - 	cl34756
Q#3 - >Shae__MS3_00000487	superfamily	443500	1478	1745	1.05862e-06	52.9822	cl34756	COG4372 superfamily	 - 	 - 
Q#3 - >Shae__MS3_00000487	specific	214543	508	552	1.1916e-06	46.9207	smart00180	EGF_Lam	 - 	cl21504
Q#3 - >Shae__MS3_00000487	superfamily	473889	508	552	1.1916e-06	46.9207	cl21504	EGF_CA superfamily	 - 	 - 
Q#3 - >Shae__MS3_00000487	specific	214543	912	955	1.36701e-06	46.5355	smart00180	EGF_Lam	 - 	cl21504
Q#3 - >Shae__MS3_00000487	specific	238012	508	551	2.69108e-06	45.8082	cd00055	EGF_Lam	 - 	cl21504
Q#3 - >Shae__MS3_00000487	specific	214543	809	848	3.30569e-06	45.3799	smart00180	EGF_Lam	 - 	cl21504
Q#3 - >Shae__MS3_00000487	non-specific	444066	1180	1617	4.20793e-06	51.4966	COG5185	HEC1	N	cl34933
Q#3 - >Shae__MS3_00000487	superfamily	444066	1180	1617	4.20793e-06	51.4966	cl34933	HEC1 superfamily	N	 - 
