sequence_id	species	length	candidate
Cele__WBGene00004729	Cele	1273	0
Dmel__GeneID_33314	Dmel	1342	0
Dmel__GeneID_37603	Dmel	1395	0
Dmel__GeneID_44522	Dmel	1519	0
Hsap__GeneID_54538	Hsap	1007	0
Hsap__GeneID_6091	Hsap	1654	0
Hsap__GeneID_6092	Hsap	1597	0
Hsap__GeneID_64221	Hsap	1386	0
Mmus__GeneID_19649	Mmus	1403	0
Mmus__GeneID_19876	Mmus	1687	0
Mmus__GeneID_268902	Mmus	1598	0
Mmus__GeneID_74144	Mmus	1074	0
Shae__MS3_00004868	Shae	1413	1
Shae__MS3_00007710	Shae	1873	1
Sjap__EWB00_002236	Sjap	1420	1
Sjap__EWB00_007255	Sjap	1855	0
Sman__Smp_024660	Sman	1875	1
Sman__Smp_204750	Sman	1413	1
Xlae__GeneID_100462919	Xlae	1555	0
Xlae__GeneID_108696400	Xlae	1163	0
Xlae__GeneID_108696402	Xlae	1423	0
Xlae__GeneID_108704930	Xlae	1414	0
Xlae__GeneID_108704932	Xlae	1166	0
Xlae__GeneID_108707903	Xlae	1620	0
Xlae__GeneID_108709204	Xlae	1616	0
Xlae__GeneID_399392	Xlae	1614	0
