Orthogroup	Cele	Dmel	Hsap	Mmus	Shae	Sjap	Sman	Xlae	Matched_candidates
OG0000005	Cele__WBGene00044435				Shae__MS3_00000047, Shae__MS3_00000069, Shae__MS3_00000099, Shae__MS3_00000131, Shae__MS3_00000133, Shae__MS3_00000134, Shae__MS3_00000153, Shae__MS3_00000156, Shae__MS3_00000170, Shae__MS3_00000182, Shae__MS3_00000188, Shae__MS3_00000251, Shae__MS3_00000288, Shae__MS3_00000315, Shae__MS3_00000359, Shae__MS3_00000508, Shae__MS3_00000735, Shae__MS3_00000825, Shae__MS3_00000829, Shae__MS3_00000945, Shae__MS3_00001212, Shae__MS3_00001242, Shae__MS3_00001248, Shae__MS3_00001331, Shae__MS3_00002043, Shae__MS3_00002079, Shae__MS3_00002552, Shae__MS3_00002775, Shae__MS3_00003207, Shae__MS3_00003455, Shae__MS3_00003850, Shae__MS3_00003908, Shae__MS3_00003949, Shae__MS3_00004024, Shae__MS3_00004555, Shae__MS3_00004602, Shae__MS3_00004735, Shae__MS3_00004738, Shae__MS3_00005211, Shae__MS3_00005635, Shae__MS3_00005652, Shae__MS3_00005711, Shae__MS3_00005721, Shae__MS3_00005726, Shae__MS3_00006031, Shae__MS3_00006048, Shae__MS3_00006532, Shae__MS3_00007053, Shae__MS3_00008064, Shae__MS3_00008120, Shae__MS3_00008121, Shae__MS3_00008239, Shae__MS3_00008240, Shae__MS3_00008571, Shae__MS3_00008652, Shae__MS3_00008741, Shae__MS3_00008778, Shae__MS3_00008868, Shae__MS3_00009357, Shae__MS3_00009358, Shae__MS3_00009359, Shae__MS3_00009365, Shae__MS3_00009372, Shae__MS3_00009756	Sjap__EWB00_000096, Sjap__EWB00_000130, Sjap__EWB00_000131, Sjap__EWB00_000132, Sjap__EWB00_000158, Sjap__EWB00_000492, Sjap__EWB00_000531, Sjap__EWB00_000881, Sjap__EWB00_000919, Sjap__EWB00_001692, Sjap__EWB00_001693, Sjap__EWB00_002144, Sjap__EWB00_002145, Sjap__EWB00_002719, Sjap__EWB00_002804, Sjap__EWB00_002908, Sjap__EWB00_002941, Sjap__EWB00_002942, Sjap__EWB00_002973, Sjap__EWB00_003669, Sjap__EWB00_003683, Sjap__EWB00_003687, Sjap__EWB00_004732, Sjap__EWB00_004988, Sjap__EWB00_005000, Sjap__EWB00_005206, Sjap__EWB00_005433, Sjap__EWB00_007087, Sjap__EWB00_007088, Sjap__EWB00_008308, Sjap__EWB00_008408, Sjap__EWB00_008826, Sjap__EWB00_008905, Sjap__EWB00_009238, Sjap__EWB00_009284, Sjap__EWB00_009922, Sjap__EWB00_010265, Sjap__EWB00_011427	Sman__Smp_002860, Sman__Smp_028860, Sman__Smp_102000, Sman__Smp_112480, Sman__Smp_138720, Sman__Smp_164700, Sman__Smp_167840	Xlae__GeneID_108705944, Xlae__GeneID_108712235, Xlae__GeneID_108715517, Xlae__GeneID_108717572, Xlae__GeneID_108719567, Xlae__GeneID_121393190, Xlae__GeneID_121393310, Xlae__GeneID_121393319, Xlae__GeneID_121393438, Xlae__GeneID_121393678, Xlae__GeneID_121393682, Xlae__GeneID_121393683, Xlae__GeneID_121394190, Xlae__GeneID_121394321, Xlae__GeneID_121394461, Xlae__GeneID_121394466, Xlae__GeneID_121394577, Xlae__GeneID_121394675, Xlae__GeneID_121394762, Xlae__GeneID_121394794, Xlae__GeneID_121394795, Xlae__GeneID_121395027, Xlae__GeneID_121395420, Xlae__GeneID_121395423, Xlae__GeneID_121395632, Xlae__GeneID_121396006, Xlae__GeneID_121396313, Xlae__GeneID_121396314, Xlae__GeneID_121396364, Xlae__GeneID_121396901, Xlae__GeneID_121397278, Xlae__GeneID_121397294, Xlae__GeneID_121397295, Xlae__GeneID_121397779, Xlae__GeneID_121397888, Xlae__GeneID_121397889, Xlae__GeneID_121397955, Xlae__GeneID_121398035, Xlae__GeneID_121398331, Xlae__GeneID_121398874, Xlae__GeneID_121399034, Xlae__GeneID_121399276, Xlae__GeneID_121399321, Xlae__GeneID_121399335, Xlae__GeneID_121399340, Xlae__GeneID_121399944, Xlae__GeneID_121399959, Xlae__GeneID_121399965, Xlae__GeneID_121399967, Xlae__GeneID_121399968, Xlae__GeneID_121400044, Xlae__GeneID_121400508, Xlae__GeneID_121400535, Xlae__GeneID_121400706, Xlae__GeneID_121401411, Xlae__GeneID_121402154, Xlae__GeneID_121402280, Xlae__GeneID_121402990, Xlae__GeneID_121403118, Xlae__GeneID_121403119, Xlae__GeneID_121403691	Shae__MS3_00000359, Shae__MS3_00000825
OG0000053	Cele__WBGene00000063, Cele__WBGene00000064, Cele__WBGene00000065, Cele__WBGene00000066, Cele__WBGene00000067	Dmel__GeneID_31521, Dmel__GeneID_35526, Dmel__GeneID_37368, Dmel__GeneID_40444, Dmel__GeneID_41885, Dmel__GeneID_48632	Hsap__GeneID_100287399, Hsap__GeneID_100288966, Hsap__GeneID_100996331, Hsap__GeneID_101927345, Hsap__GeneID_101927375, Hsap__GeneID_102723382, Hsap__GeneID_102723502, Hsap__GeneID_102724631, Hsap__GeneID_105375816, Hsap__GeneID_105375817, Hsap__GeneID_105379417, Hsap__GeneID_112268044, Hsap__GeneID_22852, Hsap__GeneID_23784, Hsap__GeneID_253650, Hsap__GeneID_317754, Hsap__GeneID_340441, Hsap__GeneID_342850, Hsap__GeneID_374860, Hsap__GeneID_375248, Hsap__GeneID_388468, Hsap__GeneID_400986, Hsap__GeneID_404785, Hsap__GeneID_441459, Hsap__GeneID_445582, Hsap__GeneID_554226, Hsap__GeneID_56311, Hsap__GeneID_57730, Hsap__GeneID_58, Hsap__GeneID_59, Hsap__GeneID_60, Hsap__GeneID_641455, Hsap__GeneID_653269, Hsap__GeneID_653781, Hsap__GeneID_70, Hsap__GeneID_71, Hsap__GeneID_72, Hsap__GeneID_728378, Hsap__GeneID_84210, Hsap__GeneID_91074, Hsap__GeneID_9720	Mmus__GeneID_11459, Mmus__GeneID_11461, Mmus__GeneID_11464, Mmus__GeneID_11465, Mmus__GeneID_11468, Mmus__GeneID_11475, Mmus__GeneID_232339, Mmus__GeneID_75196	Shae__MS3_00004525	Sjap__EWB00_002502	Sman__Smp_307010, Sman__Smp_307020	Xlae__GeneID_100337595, Xlae__GeneID_100653490, Xlae__GeneID_108699710, Xlae__GeneID_108703086, Xlae__GeneID_108711140, Xlae__GeneID_108713105, Xlae__GeneID_108716753, Xlae__GeneID_379351, Xlae__GeneID_379752, Xlae__GeneID_398426, Xlae__GeneID_398459, Xlae__GeneID_431847, Xlae__GeneID_432314, Xlae__GeneID_734918, Xlae__GeneID_779096, Xlae__GeneID_779129	Shae__MS3_00004525, Sjap__EWB00_002502, Sman__Smp_307010, Sman__Smp_307020
OG0000088	Cele__WBGene00006868	Dmel__GeneID_43803	Hsap__GeneID_1969, Hsap__GeneID_2041, Hsap__GeneID_2042, Hsap__GeneID_2043, Hsap__GeneID_2044, Hsap__GeneID_2045, Hsap__GeneID_2046, Hsap__GeneID_2047, Hsap__GeneID_2048, Hsap__GeneID_2049, Hsap__GeneID_2050, Hsap__GeneID_2051, Hsap__GeneID_284656, Hsap__GeneID_285220	Mmus__GeneID_13835, Mmus__GeneID_13836, Mmus__GeneID_13837, Mmus__GeneID_13838, Mmus__GeneID_13839, Mmus__GeneID_13840, Mmus__GeneID_13841, Mmus__GeneID_13842, Mmus__GeneID_13844, Mmus__GeneID_13845, Mmus__GeneID_13846, Mmus__GeneID_13848, Mmus__GeneID_230735, Mmus__GeneID_270190	Shae__MS3_00001438	Sjap__EWB00_008162, Sjap__EWB00_008163	Sman__Smp_139480	Xlae__GeneID_100191023, Xlae__GeneID_100191024, Xlae__GeneID_108695684, Xlae__GeneID_108697272, Xlae__GeneID_108697840, Xlae__GeneID_108704562, Xlae__GeneID_108705066, Xlae__GeneID_108707429, Xlae__GeneID_108707501, Xlae__GeneID_108707897, Xlae__GeneID_108708233, Xlae__GeneID_108708862, Xlae__GeneID_108709206, Xlae__GeneID_108709572, Xlae__GeneID_108711356, Xlae__GeneID_108716868, Xlae__GeneID_108717147, Xlae__GeneID_108717159, Xlae__GeneID_108717965, Xlae__GeneID_108718198, Xlae__GeneID_108718221, Xlae__GeneID_121401677, Xlae__GeneID_378530, Xlae__GeneID_379148, Xlae__GeneID_394370, Xlae__GeneID_398362, Xlae__GeneID_734241, Xlae__GeneID_779062, Xlae__GeneID_779117	Sjap__EWB00_008162
OG0000150	Cele__WBGene00006407, Cele__WBGene00015217, Cele__WBGene00022727	Dmel__GeneID_45343, Dmel__GeneID_53557	Hsap__GeneID_144165, Hsap__GeneID_166336, Hsap__GeneID_2273, Hsap__GeneID_2274, Hsap__GeneID_2275, Hsap__GeneID_26136, Hsap__GeneID_29964, Hsap__GeneID_4007, Hsap__GeneID_9457	Mmus__GeneID_106042, Mmus__GeneID_14199, Mmus__GeneID_14200, Mmus__GeneID_14201, Mmus__GeneID_14202, Mmus__GeneID_21753, Mmus__GeneID_236749, Mmus__GeneID_243548, Mmus__GeneID_381104, Mmus__GeneID_54630, Mmus__GeneID_57756	Shae__MS3_00002568, Shae__MS3_00003616	Sjap__EWB00_003590, Sjap__EWB00_009388	Sman__Smp_048560, Sman__Smp_143130	Xlae__GeneID_100127273, Xlae__GeneID_108699981, Xlae__GeneID_108708232, Xlae__GeneID_108708415, Xlae__GeneID_108709459, Xlae__GeneID_108709713, Xlae__GeneID_108713109, Xlae__GeneID_108714730, Xlae__GeneID_108715929, Xlae__GeneID_108717963, Xlae__GeneID_380398, Xlae__GeneID_398256, Xlae__GeneID_398264, Xlae__GeneID_444152, Xlae__GeneID_446852, Xlae__GeneID_447182, Xlae__GeneID_447738	Shae__MS3_00002568, Shae__MS3_00003616, Sjap__EWB00_003590, Sjap__EWB00_009388, Sman__Smp_048560, Sman__Smp_143130
OG0000213	Cele__WBGene00005077	Dmel__GeneID_48973	Hsap__GeneID_2268, Hsap__GeneID_2534, Hsap__GeneID_3055, Hsap__GeneID_3932, Hsap__GeneID_4067, Hsap__GeneID_640, Hsap__GeneID_6714, Hsap__GeneID_7525	Mmus__GeneID_12143, Mmus__GeneID_14191, Mmus__GeneID_14360, Mmus__GeneID_15162, Mmus__GeneID_16818, Mmus__GeneID_17096, Mmus__GeneID_20779, Mmus__GeneID_22612	Shae__MS3_00002771, Shae__MS3_00008738, Shae__MS3_00009264	Sjap__EWB00_004406, Sjap__EWB00_007520, Sjap__EWB00_007873	Sman__Smp_006920, Sman__Smp_136300, Sman__Smp_172200, Sman__Smp_348670	Xlae__GeneID_100036955, Xlae__GeneID_108695301, Xlae__GeneID_108708097, Xlae__GeneID_108708930, Xlae__GeneID_108709526, Xlae__GeneID_108717237, Xlae__GeneID_373609, Xlae__GeneID_373647, Xlae__GeneID_373649, Xlae__GeneID_379629, Xlae__GeneID_379812, Xlae__GeneID_380430, Xlae__GeneID_734720	Shae__MS3_00002771, Shae__MS3_00008738, Shae__MS3_00009264, Sjap__EWB00_004406, Sjap__EWB00_007520, Sjap__EWB00_007873, Sman__Smp_006920, Sman__Smp_136300, Sman__Smp_172200, Sman__Smp_348670
OG0000283			Hsap__GeneID_1277, Hsap__GeneID_1278, Hsap__GeneID_1280, Hsap__GeneID_1281, Hsap__GeneID_1290, Hsap__GeneID_255631, Hsap__GeneID_85301	Mmus__GeneID_12824, Mmus__GeneID_12825, Mmus__GeneID_12832, Mmus__GeneID_12842, Mmus__GeneID_12843, Mmus__GeneID_373864, Mmus__GeneID_71355	Shae__MS3_00005611, Shae__MS3_00007363, Shae__MS3_00007701	Sjap__EWB00_007395, Sjap__EWB00_008239, Sjap__EWB00_010448	Sman__Smp_135560, Sman__Smp_164590, Sman__Smp_343740	Xlae__GeneID_108699974, Xlae__GeneID_108700840, Xlae__GeneID_108701482, Xlae__GeneID_108701483, Xlae__GeneID_108703076, Xlae__GeneID_108705040, Xlae__GeneID_108714172, Xlae__GeneID_108719903, Xlae__GeneID_380419, Xlae__GeneID_380515, Xlae__GeneID_397738, Xlae__GeneID_397739, Xlae__GeneID_398983	Shae__MS3_00005611, Shae__MS3_00007363, Shae__MS3_00007701, Sjap__EWB00_007395, Sjap__EWB00_008239, Sjap__EWB00_010448, Sman__Smp_135560, Sman__Smp_164590, Sman__Smp_343740
OG0000304	Cele__WBGene00000553, Cele__WBGene00012328, Cele__WBGene00012332, Cele__WBGene00017860	Dmel__GeneID_43792	Hsap__GeneID_139728, Hsap__GeneID_149069, Hsap__GeneID_51473, Hsap__GeneID_57118, Hsap__GeneID_6101, Hsap__GeneID_728597, Hsap__GeneID_8536	Mmus__GeneID_100504491, Mmus__GeneID_195208, Mmus__GeneID_19888, Mmus__GeneID_227541, Mmus__GeneID_52163, Mmus__GeneID_68511, Mmus__GeneID_93843	Shae__MS3_00006308, Shae__MS3_00010248	Sjap__EWB00_004886, Sjap__EWB00_008724	Sman__Smp_065290, Sman__Smp_303330	Xlae__GeneID_100381138, Xlae__GeneID_108699989, Xlae__GeneID_108720125, Xlae__GeneID_379332, Xlae__GeneID_379971, Xlae__GeneID_398402, Xlae__GeneID_398621, Xlae__GeneID_399357, Xlae__GeneID_444524, Xlae__GeneID_447052	Shae__MS3_00006308, Sjap__EWB00_008724, Sman__Smp_065290
OG0000309	Cele__WBGene00001263, Cele__WBGene00002280	Dmel__GeneID_33726, Dmel__GeneID_33727	Hsap__GeneID_1282, Hsap__GeneID_1284, Hsap__GeneID_1285, Hsap__GeneID_1286, Hsap__GeneID_1287, Hsap__GeneID_1288	Mmus__GeneID_12826, Mmus__GeneID_12827, Mmus__GeneID_12828, Mmus__GeneID_12829, Mmus__GeneID_12830, Mmus__GeneID_94216	Shae__MS3_00000941, Shae__MS3_00001861, Shae__MS3_00010191	Sjap__EWB00_001102, Sjap__EWB00_006199, Sjap__EWB00_006200, Sjap__EWB00_006201	Sman__Smp_159600, Sman__Smp_170340, Sman__Smp_213900, Sman__Smp_213910	Xlae__GeneID_108698394, Xlae__GeneID_108698395, Xlae__GeneID_108700098, Xlae__GeneID_108700099, Xlae__GeneID_108709738, Xlae__GeneID_108709739, Xlae__GeneID_373763, Xlae__GeneID_373764	Shae__MS3_00000941, Shae__MS3_00001861, Shae__MS3_00010191, Sjap__EWB00_001102, Sjap__EWB00_006199, Sjap__EWB00_006200, Sjap__EWB00_006201, Sman__Smp_159600, Sman__Smp_170340, Sman__Smp_213900, Sman__Smp_213910
OG0000334	Cele__WBGene00010872	Dmel__GeneID_261623, Dmel__GeneID_326109	Hsap__GeneID_23659, Hsap__GeneID_3931, Hsap__GeneID_79858	Mmus__GeneID_16816, Mmus__GeneID_192654, Mmus__GeneID_208583	Shae__MS3_00002915, Shae__MS3_00002916, Shae__MS3_00003023, Shae__MS3_00003026, Shae__MS3_00010098	Sjap__EWB00_002111, Sjap__EWB00_002112, Sjap__EWB00_002113, Sjap__EWB00_006080, Sjap__EWB00_006081, Sjap__EWB00_006281, Sjap__EWB00_008274, Sjap__EWB00_009015, Sjap__EWB00_009016	Sman__Smp_031180, Sman__Smp_031190, Sman__Smp_160880, Sman__Smp_166500, Sman__Smp_166530, Sman__Smp_304500	Xlae__GeneID_108704815, Xlae__GeneID_108713973, Xlae__GeneID_108718960, Xlae__GeneID_447501, Xlae__GeneID_734415	Sman__Smp_304500
OG0000401	Cele__WBGene00003929	Dmel__GeneID_32661, Dmel__GeneID_36692, Dmel__GeneID_36693, Dmel__GeneID_37732	Hsap__GeneID_3674, Hsap__GeneID_3676, Hsap__GeneID_3678, Hsap__GeneID_3680, Hsap__GeneID_3685, Hsap__GeneID_8516	Mmus__GeneID_104099, Mmus__GeneID_16399, Mmus__GeneID_16401, Mmus__GeneID_16402, Mmus__GeneID_16410, Mmus__GeneID_241226	Shae__MS3_00009872	Sjap__EWB00_002919	Sman__Smp_126140	Xlae__GeneID_100191022, Xlae__GeneID_108701397, Xlae__GeneID_108718824, Xlae__GeneID_108719000, Xlae__GeneID_108719885, Xlae__GeneID_394366, Xlae__GeneID_397839, Xlae__GeneID_397842, Xlae__GeneID_397997, Xlae__GeneID_495051	Shae__MS3_00009872, Sjap__EWB00_002919, Sman__Smp_126140
