candidate_id	reference_species	orthologues	relationship	source_group_size	target_group_size	source_file
Shae__MS3_00009815	Cele	Cele__WBGene00009717, Cele__WBGene00010558, Cele__WBGene00021314	one-to-many	1	3	Orthologues/Cele.tsv
Shae__MS3_00002673	Cele	Cele__WBGene00001000, Cele__WBGene00003860, Cele__WBGene00003861, Cele__WBGene00019727	one-to-many	1	4	Orthologues/Cele.tsv
Shae__MS3_00007710	Cele	Cele__WBGene00004729	many-to-one	2	1	Orthologues/Cele.tsv
Shae__MS3_00004868	Cele	Cele__WBGene00004729	many-to-one	2	1	Orthologues/Cele.tsv
Shae__MS3_00010198	Cele	Cele__WBGene00002243, Cele__WBGene00004732, Cele__WBGene00023520	many-to-many	3	3	Orthologues/Cele.tsv
Shae__MS3_00011072	Cele	Cele__WBGene00002243, Cele__WBGene00004732, Cele__WBGene00023520	many-to-many	3	3	Orthologues/Cele.tsv
Shae__MS3_00003925	Cele	Cele__WBGene00016354	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00002886	Cele	Cele__WBGene00004215	many-to-one	3	1	Orthologues/Cele.tsv
Shae__MS3_00000599	Cele	Cele__WBGene00004215	many-to-one	3	1	Orthologues/Cele.tsv
Shae__MS3_00004247	Cele	Cele__WBGene00004215	many-to-one	3	1	Orthologues/Cele.tsv
Shae__MS3_00009248	Cele	Cele__WBGene00004214	many-to-one	2	1	Orthologues/Cele.tsv
Shae__MS3_00010503	Cele	Cele__WBGene00007944	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00006710	Cele	Cele__WBGene00002181	many-to-one	3	1	Orthologues/Cele.tsv
Shae__MS3_00006969	Cele	Cele__WBGene00002181	many-to-one	3	1	Orthologues/Cele.tsv
Shae__MS3_00010433	Cele	Cele__WBGene00002181	many-to-one	3	1	Orthologues/Cele.tsv
Shae__MS3_00001233	Cele	Cele__WBGene00006981, Cele__WBGene00017184	one-to-many	1	2	Orthologues/Cele.tsv
Shae__MS3_00001568	Cele	Cele__WBGene00007750	many-to-one	2	1	Orthologues/Cele.tsv
Shae__MS3_00006635	Cele	Cele__WBGene00007750	many-to-one	2	1	Orthologues/Cele.tsv
Shae__MS3_00001541	Cele	Cele__WBGene00016539	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00009394	Cele	Cele__WBGene00018215	many-to-one	3	1	Orthologues/Cele.tsv
Shae__MS3_00005143	Cele	Cele__WBGene00006759	one-to-one	1	1	Orthologues/Cele.tsv
Sjap__EWB00_002123	Cele	Cele__WBGene00009717, Cele__WBGene00010558, Cele__WBGene00021314	one-to-many	1	3	Orthologues/Cele.tsv
Sjap__EWB00_002236	Cele	Cele__WBGene00004729	many-to-one	2	1	Orthologues/Cele.tsv
Sjap__EWB00_006149	Cele	Cele__WBGene00002243, Cele__WBGene00004732, Cele__WBGene00023520	many-to-many	2	3	Orthologues/Cele.tsv
Sjap__EWB00_009360	Cele	Cele__WBGene00016354	one-to-one	1	1	Orthologues/Cele.tsv
Sjap__EWB00_000603	Cele	Cele__WBGene00004215	many-to-one	3	1	Orthologues/Cele.tsv
Sjap__EWB00_009052	Cele	Cele__WBGene00004215	many-to-one	3	1	Orthologues/Cele.tsv
Sjap__EWB00_003964	Cele	Cele__WBGene00000898	many-to-one	2	1	Orthologues/Cele.tsv
Sjap__EWB00_006448	Cele	Cele__WBGene00007944	one-to-one	1	1	Orthologues/Cele.tsv
Sjap__EWB00_003810	Cele	Cele__WBGene00002181	many-to-one	4	1	Orthologues/Cele.tsv
Sjap__EWB00_010663	Cele	Cele__WBGene00002181	many-to-one	4	1	Orthologues/Cele.tsv
Sjap__EWB00_002345	Cele	Cele__WBGene00002181	many-to-one	4	1	Orthologues/Cele.tsv
Sjap__EWB00_003808	Cele	Cele__WBGene00002181	many-to-one	4	1	Orthologues/Cele.tsv
Sjap__EWB00_002463	Cele	Cele__WBGene00006981, Cele__WBGene00017184	one-to-many	1	2	Orthologues/Cele.tsv
Sjap__EWB00_006815	Cele	Cele__WBGene00007750	many-to-one	3	1	Orthologues/Cele.tsv
Sjap__EWB00_004279	Cele	Cele__WBGene00007750	many-to-one	3	1	Orthologues/Cele.tsv
Sjap__EWB00_004250	Cele	Cele__WBGene00016539	one-to-one	1	1	Orthologues/Cele.tsv
Sjap__EWB00_005094	Cele	Cele__WBGene00018215	many-to-one	2	1	Orthologues/Cele.tsv
Sjap__EWB00_011116	Cele	Cele__WBGene00006759	one-to-one	1	1	Orthologues/Cele.tsv
Sman__Smp_152750	Cele	Cele__WBGene00009717, Cele__WBGene00010558, Cele__WBGene00021314	one-to-many	1	3	Orthologues/Cele.tsv
Sman__Smp_303910	Cele	Cele__WBGene00001000, Cele__WBGene00003860, Cele__WBGene00003861, Cele__WBGene00019727	one-to-many	1	4	Orthologues/Cele.tsv
Sman__Smp_204750	Cele	Cele__WBGene00004729	many-to-one	2	1	Orthologues/Cele.tsv
Sman__Smp_024660	Cele	Cele__WBGene00004729	many-to-one	2	1	Orthologues/Cele.tsv
Sman__Smp_148020	Cele	Cele__WBGene00002243, Cele__WBGene00004732, Cele__WBGene00023520	many-to-many	3	3	Orthologues/Cele.tsv
Sman__Smp_176350	Cele	Cele__WBGene00016354	one-to-one	1	1	Orthologues/Cele.tsv
Sman__Smp_244080	Cele	Cele__WBGene00004215	many-to-one	3	1	Orthologues/Cele.tsv
Sman__Smp_344760	Cele	Cele__WBGene00004215	many-to-one	3	1	Orthologues/Cele.tsv
Sman__Smp_342880	Cele	Cele__WBGene00004215	many-to-one	3	1	Orthologues/Cele.tsv
Sman__Smp_266820	Cele	Cele__WBGene00007944	one-to-one	1	1	Orthologues/Cele.tsv
Sman__Smp_159450	Cele	Cele__WBGene00002181	many-to-one	3	1	Orthologues/Cele.tsv
Sman__Smp_311870	Cele	Cele__WBGene00002181	many-to-one	3	1	Orthologues/Cele.tsv
Sman__Smp_346250	Cele	Cele__WBGene00002181	many-to-one	3	1	Orthologues/Cele.tsv
