Protein_ID,Localizations,Signals,Membrane types,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Peripheral,Transmembrane,Lipid anchor,Soluble
Shae__MS3_00000278,Cytoplasm|Cell membrane,Nuclear localization signal,Peripheral|Soluble,0.6100999712944031,0.3253999948501587,0.046300001442432404,0.6478000283241272,0.17579999566078186,0.010400000028312206,0.05950000137090683,0.17080000042915344,0.23510000109672546,0.0142000000923872,0.6032999753952026,0.18060000240802765,0.04149999842047691,0.6955000162124634
Shae__MS3_00000359,Cytoplasm,Nuclear export signal,Soluble,0.6335999965667725,0.41850000619888306,0.09459999948740005,0.3005000054836273,0.08049999922513962,0.026499999687075615,0.19599999487400055,0.16910000145435333,0.2671000063419342,0.33739998936653137,0.426800012588501,0.10610000044107437,0.36500000953674316,0.8105000257492065
Shae__MS3_00000487,Extracellular,Signal peptide,Soluble,0.36149999499320984,0.08640000224113464,0.6043999791145325,0.5217999815940857,0.1444000005722046,0.007799999788403511,0.21610000729560852,0.1331000030040741,0.15000000596046448,0.003599999938160181,0.5640000104904175,0.17730000615119934,0.09709999710321426,0.7894999980926514
Shae__MS3_00000825,Cytoplasm,Nuclear export signal,Soluble,0.5083000063896179,0.3483999967575073,0.029899999499320984,0.27250000834465027,0.07400000095367432,0.034699998795986176,0.3560999929904938,0.09799999743700027,0.25279998779296875,0.2867000102996826,0.4124000072479248,0.18019999563694,0.14480000734329224,0.708299994468689
Shae__MS3_00000941,Extracellular,Signal peptide,Soluble,0.392300009727478,0.2928999960422516,0.7166000008583069,0.12380000203847885,0.038100000470876694,0.009700000286102295,0.07819999754428864,0.04019999876618385,0.03739999979734421,0.000699999975040555,0.25279998779296875,0.10180000215768814,0.0697999969124794,0.8883000016212463
Shae__MS3_00001381,Cytoplasm,Nuclear export signal,Soluble,0.8399999737739563,0.28209999203681946,0.013199999928474426,0.22779999673366547,0.0786999985575676,0.002099999925121665,0.0674000009894371,0.42559999227523804,0.2930999994277954,0.054099999368190765,0.5418000221252441,0.07450000196695328,0.07109999656677246,0.789900004863739
Shae__MS3_00001471,Cytoplasm|Nucleus,Nuclear export signal,Soluble,0.6787999868392944,0.5232999920845032,0.01269999984651804,0.25380000472068787,0.10100000351667404,0.00860000029206276,0.06629999727010727,0.21539999544620514,0.14149999618530273,0.04910000041127205,0.5116000175476074,0.0203000009059906,0.12540000677108765,0.8812000155448914
Shae__MS3_00001484,Cytoplasm,Nuclear localization signal,Peripheral|Soluble,0.6069999933242798,0.3172999918460846,0.02759999968111515,0.5468000173568726,0.1388999968767166,0.019200000911951065,0.12349999696016312,0.5180000066757202,0.16449999809265137,0.008200000040233135,0.7174999713897705,0.04809999838471413,0.14749999344348907,0.7735000252723694
Shae__MS3_00001622,Cytoplasm,Nuclear export signal,Soluble,0.6764000058174133,0.4307999908924103,0.01269999984651804,0.22310000658035278,0.3206999897956848,0.011500000022351742,0.21690000593662262,0.3327000141143799,0.23489999771118164,0.14380000531673431,0.5011000037193298,0.20180000364780426,0.16220000386238098,0.6991000175476074
Shae__MS3_00001662,Cytoplasm|Nucleus,Nuclear export signal,Soluble,0.6962000131607056,0.7317000031471252,0.024700000882148743,0.1315000057220459,0.21699999272823334,0.012400000356137753,0.10199999809265137,0.10649999976158142,0.1589999943971634,0.12189999967813492,0.32269999384880066,0.05860000103712082,0.2770000100135803,0.8475000262260437
Shae__MS3_00001716,Extracellular,Signal peptide,Soluble,0.23479999601840973,0.1404999941587448,0.679099977016449,0.21250000596046448,0.07370000332593918,0.017999999225139618,0.2639000117778778,0.14219999313354492,0.15449999272823334,0.0010999999940395355,0.4860999882221222,0.07930000126361847,0.12229999899864197,0.7750999927520752
Shae__MS3_00001770,Cytoplasm|Cell membrane,Nuclear export signal,Peripheral|Soluble,0.6561999917030334,0.25209999084472656,0.023800000548362732,0.6965000033378601,0.1673000007867813,0.018200000748038292,0.07850000262260437,0.21979999542236328,0.27950000762939453,0.009100000374019146,0.7095000147819519,0.09359999746084213,0.06449999660253525,0.7371000051498413
Shae__MS3_00001771,Cytoplasm,Nuclear localization signal,Soluble,0.5781000256538391,0.4327999949455261,0.053199999034404755,0.2696000039577484,0.37689998745918274,0.00419999985024333,0.07620000094175339,0.08420000225305557,0.2046000063419342,0.026799999177455902,0.45239999890327454,0.13740000128746033,0.0803999975323677,0.7842000126838684
Shae__MS3_00001786,Cytoplasm,Nuclear export signal,Soluble,0.7523000240325928,0.32850000262260437,0.021900000050663948,0.262800008058548,0.4172999858856201,0.039000000804662704,0.22280000150203705,0.21660000085830688,0.31700000166893005,0.051899999380111694,0.559499979019165,0.0803999975323677,0.32120001316070557,0.7534000277519226
