#node	identifier	category	term ID	term description
MS3_00254	6185.A0A094ZGZ0	GO Process	GO:0009987	Cellular process
MS3_00254	6185.A0A094ZGZ0	GO Function	GO:0005198	Structural molecule activity
MS3_00254	6185.A0A094ZGZ0	GO Component	GO:0005581	Collagen trimer
MS3_00254	6185.A0A094ZGZ0	GO Component	GO:0032991	Protein-containing complex
MS3_00254	6185.A0A094ZGZ0	STRING clusters	CL:13283	Mixed, incl. ABC-type transporter activity, and Protein-cysteine S-acyltransferase activity
MS3_00254	6185.A0A094ZGZ0	STRING clusters	CL:13407	Mixed, incl. Protein-cysteine S-acyltransferase activity, and Collagen triple helix repeat
MS3_00254	6185.A0A094ZGZ0	STRING clusters	CL:13409	Mixed, incl. Protein-cysteine S-acyltransferase activity, and Collagen triple helix repeat
MS3_00254	6185.A0A094ZGZ0	STRING clusters	CL:13411	Mixed, incl. Protein-cysteine S-acyltransferase activity, and Collagen triple helix repeat
MS3_00254	6185.A0A094ZGZ0	STRING clusters	CL:13451	Mixed, incl. Collagen triple helix repeat, and Constitutive heterochromatin formation
MS3_00254	6185.A0A094ZGZ0	Reactome	MAP-1474244	Extracellular matrix organization
MS3_00254	6185.A0A094ZGZ0	Reactome	MAP-1474290	Collagen formation
MS3_00254	6185.A0A094ZGZ0	Reactome	MAP-1650814	Collagen biosynthesis and modifying enzymes
MS3_00254	6185.A0A094ZGZ0	Reactome	MAP-8948216	Collagen chain trimerization
MS3_00254	6185.A0A094ZGZ0	COMPARTMENTS	GOCC:0005581	Collagen trimer
MS3_00254	6185.A0A094ZGZ0	COMPARTMENTS	GOCC:0032991	Protein-containing complex
MS3_00254	6185.A0A094ZGZ0	UniProt Keywords	KW-0176	Collagen
MS3_00254	6185.A0A094ZGZ0	UniProt Keywords	KW-0732	Signal
MS3_00254	6185.A0A094ZGZ0	UniProt Keywords	KW-0964	Secreted
MS3_00254	6185.A0A094ZGZ0	Pfam	PF01391	Collagen triple helix repeat (20 copies)
MS3_00254	6185.A0A094ZGZ0	InterPro	IPR000885	Fibrillar collagen, C-terminal
MS3_00254	6185.A0A094ZGZ0	InterPro	IPR008160	Collagen triple helix repeat
