#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
MS3_00254	MS3_05634	6185.A0A094ZGZ0	6185.A0A094ZSZ5	0	0	0	0	0	0.123	0.362	0.188	0.505
MS3_00256	MS3_00351	6185.A0A094ZCZ2	6185.A0A095BTU9	0	0	0	0	0	0.207	0	0.334	0.449
MS3_00256	MS3_04907	6185.A0A094ZCZ2	6185.A0A094ZPG8	0	0	0	0	0.067	0.207	0	0.322	0.454
MS3_00256	MS3_07374	6185.A0A094ZCZ2	6185.A0A095AWE8	0	0	0	0	0	0.469	0	0.074	0.487
MS3_00256	MS3_04014	6185.A0A094ZCZ2	6185.A0A095C2B3	0	0	0	0	0.080	0.469	0	0.074	0.508
MS3_00256	MS3_01079	6185.A0A094ZCZ2	6185.A0A095AGB3	0	0	0	0	0.107	0.732	0	0.270	0.810
MS3_00351	MS3_00256	6185.A0A095BTU9	6185.A0A094ZCZ2	0	0	0	0	0	0.207	0	0.334	0.449
MS3_00351	MS3_04907	6185.A0A095BTU9	6185.A0A094ZPG8	0	0	0	0.766	0.842	0.931	0.959	0.735	0.999
MS3_00351	MS3_07220	6185.A0A095BTU9	6185.A0A095A048	0	0	0	0	0	0.420	0.338	0.126	0.635
MS3_00351	MS3_08642	6185.A0A095BTU9	6185.A0A095A3M6	0	0	0	0	0	0.138	0.108	0.315	0.427
MS3_00351	MS3_05026	6185.A0A095BTU9	6185.A0A095AQX5	0	0	0	0	0.231	0.256	0	0.729	0.831
MS3_00351	MS3_07221	6185.A0A095BTU9	6185.A0A095AW46	0	0	0	0	0	0.420	0.338	0.126	0.635
MS3_00351	MS3_07374	6185.A0A095BTU9	6185.A0A095AWE8	0	0	0.053	0.922	0	0.532	0.940	0.126	0.973
MS3_00351	MS3_04014	6185.A0A095BTU9	6185.A0A095C2B3	0	0	0	0	0.118	0.512	0.402	0.126	0.744
MS3_00361	MS3_08067	6185.A0A094ZD96	6185.A0A094ZXH0	0	0	0	0	0.059	0.255	0	0.270	0.443
MS3_00361	MS3_05026	6185.A0A094ZD96	6185.A0A095AQX5	0	0	0	0	0	0.057	0	0.455	0.464
MS3_00361	MS3_07374	6185.A0A094ZD96	6185.A0A095AWE8	0	0	0	0	0.054	0.355	0.174	0.167	0.523
MS3_00361	MS3_04014	6185.A0A094ZD96	6185.A0A095C2B3	0	0	0	0	0.054	0.355	0.174	0.167	0.523
MS3_00361	MS3_08642	6185.A0A094ZD96	6185.A0A095A3M6	0	0	0	0	0.163	0.434	0	0.189	0.582
MS3_00361	MS3_01298	6185.A0A094ZD96	6185.A0A095BVY6	0	0	0	0	0.118	0.687	0	0.264	0.779
MS3_00783	MS3_05634	6185.A0A094ZIB4	6185.A0A094ZSZ5	0	0	0	0	0	0.123	0.362	0.188	0.505
