#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Act5C	EWB00_007520	6182.Q5DF69	6182.A0A4Z2CUE7	0	0	0	0	0	0.165	0.381	0.073	0.479
Act5C	EWB00_007322	6182.Q5DF69	6182.A0A4Z2CUR2	0	0	0	0	0	0.264	0.396	0.112	0.570
Act5C	EWB00_006505	6182.Q5DF69	6182.A0A4Z2CYG9	0	0	0	0	0	0.239	0.388	0.171	0.580
Act5C	EWB00_006234	6182.Q5DF69	6182.A0A4Z2CZ44	0	0	0	0	0	0.280	0.392	0.224	0.630
Act5C	EWB00_004965	6182.Q5DF69	6182.A0A4Z2D4A5	0	0	0	0	0	0.118	0.337	0.069	0.408
Act5C	EWB00_004406	6182.Q5DF69	6182.A0A4Z2D5D6	0	0	0	0	0	0.165	0.381	0.073	0.479
Act5C	EWB00_003565	6182.Q5DF69	6182.A0A4Z2D923	0	0	0	0	0	0.292	0.827	0.438	0.925
Act5C	EWB00_003146	6182.Q5DF69	6182.A0A4Z2D9E0	0	0	0	0	0	0.296	0.394	0.392	0.717
Act5C	EWB00_002869	6182.Q5DF69	6182.A0A4Z2DAG8	0	0	0	0	0	0.119	0.474	0.132	0.562
Act5C	EWB00_002775	6182.Q5DF69	6182.A0A4Z2DBA8	0	0	0	0	0	0.280	0.392	0.224	0.630
Act5C	EWB00_001618	6182.Q5DF69	6182.A0A4Z2DF74	0	0	0	0	0.042	0.650	0.687	0.144	0.898
Act5C	EWB00_001471	6182.Q5DF69	6182.A0A4Z2DFS2	0	0	0	0	0	0.165	0.282	0.086	0.404
Act5C	EWB00_010649	6182.Q5DF69	6182.A0A4Z2DN32	0	0	0	0	0.047	0.506	0.425	0.189	0.751
Act5C	EWB00_011039	6182.Q5DF69	6182.A0A4Z2DN82	0	0	0	0	0	0.065	0.474	0.093	0.514
Act5C	EWB00_006002	6182.Q5DF69	6182.A0A4Z2DTC9	0	0	0	0	0	0.649	0.517	0.186	0.849
Act5C	EWB00_006050	6182.Q5DF69	6182.A0A4Z2DTJ0	0	0	0	0	0.063	0.506	0.687	0.288	0.883
Act5C	EWB00_003429	6182.Q5DF69	6182.A0A4Z2DWH7	0	0	0	0	0	0.276	0.687	0.355	0.841
Act5C	EWB00_002919	6182.Q5DF69	6182.A0A4Z2DWJ9	0	0	0	0	0	0.065	0.474	0.093	0.514
Act5C	EWB00_001408	6182.Q5DF69	6182.A0A4Z2DX44	0	0	0	0	0	0.596	0	0.067	0.606
