candidate_id	reference_species	orthologues	relationship	source_group_size	target_group_size	source_file
Shae__MS3_00000825	Cele	Cele__WBGene00044435	many-to-one	64	1	Orthologues/Cele.tsv
Shae__MS3_00000359	Cele	Cele__WBGene00044435	many-to-one	64	1	Orthologues/Cele.tsv
Shae__MS3_00004525	Cele	Cele__WBGene00000063, Cele__WBGene00000064, Cele__WBGene00000065, Cele__WBGene00000066, Cele__WBGene00000067	one-to-many	1	5	Orthologues/Cele.tsv
Shae__MS3_00003616	Cele	Cele__WBGene00006407, Cele__WBGene00015217, Cele__WBGene00022727	many-to-many	2	3	Orthologues/Cele.tsv
Shae__MS3_00002568	Cele	Cele__WBGene00006407, Cele__WBGene00015217, Cele__WBGene00022727	many-to-many	2	3	Orthologues/Cele.tsv
Shae__MS3_00008738	Cele	Cele__WBGene00005077	many-to-one	3	1	Orthologues/Cele.tsv
Shae__MS3_00002771	Cele	Cele__WBGene00005077	many-to-one	3	1	Orthologues/Cele.tsv
Shae__MS3_00009264	Cele	Cele__WBGene00005077	many-to-one	3	1	Orthologues/Cele.tsv
Shae__MS3_00006308	Cele	Cele__WBGene00000553, Cele__WBGene00012328, Cele__WBGene00012332, Cele__WBGene00017860	many-to-many	2	4	Orthologues/Cele.tsv
Shae__MS3_00001861	Cele	Cele__WBGene00001263, Cele__WBGene00002280	many-to-many	3	2	Orthologues/Cele.tsv
Shae__MS3_00000941	Cele	Cele__WBGene00001263, Cele__WBGene00002280	many-to-many	3	2	Orthologues/Cele.tsv
Shae__MS3_00010191	Cele	Cele__WBGene00001263, Cele__WBGene00002280	many-to-many	3	2	Orthologues/Cele.tsv
Shae__MS3_00009872	Cele	Cele__WBGene00003929	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00007339	Cele	Cele__WBGene00000900	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00003923	Cele	Cele__WBGene00004033, Cele__WBGene00006599	many-to-many	2	2	Orthologues/Cele.tsv
Shae__MS3_00003400	Cele	Cele__WBGene00004033, Cele__WBGene00006599	many-to-many	2	2	Orthologues/Cele.tsv
Shae__MS3_00006229	Cele	Cele__WBGene00004855, Cele__WBGene00006803	many-to-many	2	2	Orthologues/Cele.tsv
Shae__MS3_00008194	Cele	Cele__WBGene00004855, Cele__WBGene00006803	many-to-many	2	2	Orthologues/Cele.tsv
Shae__MS3_00010396	Cele	Cele__WBGene00008311, Cele__WBGene00011352	one-to-many	1	2	Orthologues/Cele.tsv
Shae__MS3_00005588	Cele	Cele__WBGene00001708	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00009865	Cele	Cele__WBGene00003930	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00006334	Cele	Cele__WBGene00001184, Cele__WBGene00002195, Cele__WBGene00020106	one-to-many	1	3	Orthologues/Cele.tsv
Shae__MS3_00006934	Cele	Cele__WBGene00000228	many-to-one	2	1	Orthologues/Cele.tsv
Shae__MS3_00006657	Cele	Cele__WBGene00000228	many-to-one	2	1	Orthologues/Cele.tsv
Shae__MS3_00004398	Cele	Cele__WBGene00006794, Cele__WBGene00302980	many-to-many	2	2	Orthologues/Cele.tsv
Shae__MS3_00005166	Cele	Cele__WBGene00006794, Cele__WBGene00302980	many-to-many	2	2	Orthologues/Cele.tsv
Shae__MS3_00003104	Cele	Cele__WBGene00003396, Cele__WBGene00006971, Cele__WBGene00013643	one-to-many	1	3	Orthologues/Cele.tsv
Shae__MS3_00006333	Cele	Cele__WBGene00001132, Cele__WBGene00004112, Cele__WBGene00014262	one-to-many	1	3	Orthologues/Cele.tsv
Shae__MS3_00003948	Cele	Cele__WBGene00006517	many-to-one	2	1	Orthologues/Cele.tsv
Shae__MS3_00005799	Cele	Cele__WBGene00022048	many-to-one	2	1	Orthologues/Cele.tsv
Shae__MS3_00007970	Cele	Cele__WBGene00022048	many-to-one	2	1	Orthologues/Cele.tsv
Shae__MS3_00006560	Cele	Cele__WBGene00004055, Cele__WBGene00004056	one-to-many	1	2	Orthologues/Cele.tsv
Shae__MS3_00005028	Cele	Cele__WBGene00000898	many-to-one	2	1	Orthologues/Cele.tsv
Shae__MS3_00010577	Cele	Cele__WBGene00013869	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00003633	Cele	Cele__WBGene00002189	many-to-one	3	1	Orthologues/Cele.tsv
Shae__MS3_00002636	Cele	Cele__WBGene00002189	many-to-one	3	1	Orthologues/Cele.tsv
Shae__MS3_00008682	Cele	Cele__WBGene00002189	many-to-one	3	1	Orthologues/Cele.tsv
Shae__MS3_00003383	Cele	Cele__WBGene00006779	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00003129	Cele	Cele__WBGene00006999	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00004070	Cele	Cele__WBGene00006746	many-to-one	2	1	Orthologues/Cele.tsv
Shae__MS3_00003962	Cele	Cele__WBGene00006746	many-to-one	2	1	Orthologues/Cele.tsv
Shae__MS3_00005260	Cele	Cele__WBGene00003400	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00009762	Cele	Cele__WBGene00001487, Cele__WBGene00002198, Cele__WBGene00020659, Cele__WBGene00022780	one-to-many	1	4	Orthologues/Cele.tsv
Shae__MS3_00010367	Cele	Cele__WBGene00004740	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00002812	Cele	Cele__WBGene00004789	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00007742	Cele	Cele__WBGene00002081	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00003235	Cele	Cele__WBGene00006836	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00004635	Cele	Cele__WBGene00016038, Cele__WBGene00017472	one-to-many	1	2	Orthologues/Cele.tsv
Shae__MS3_00006730	Cele	Cele__WBGene00000018	many-to-one	2	1	Orthologues/Cele.tsv
Shae__MS3_00008672	Cele	Cele__WBGene00001528, Cele__WBGene00001530, Cele__WBGene00001531, Cele__WBGene00001532, Cele__WBGene00001533, Cele__WBGene00001534, Cele__WBGene00001539, Cele__WBGene00001540, Cele__WBGene00001542, Cele__WBGene00001544, Cele__WBGene00001545, Cele__WBGene00001547	one-to-many	1	12	Orthologues/Cele.tsv
Shae__MS3_00002403	Cele	Cele__WBGene00012779	many-to-one	2	1	Orthologues/Cele.tsv
Shae__MS3_00005037	Cele	Cele__WBGene00000102, Cele__WBGene00000103	one-to-many	1	2	Orthologues/Cele.tsv
Shae__MS3_00004152	Cele	Cele__WBGene00001526	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00001471	Cele	Cele__WBGene00004042, Cele__WBGene00004043	one-to-many	1	2	Orthologues/Cele.tsv
Shae__MS3_00001770	Cele	Cele__WBGene00006771	many-to-one	2	1	Orthologues/Cele.tsv
Shae__MS3_00000278	Cele	Cele__WBGene00006771	many-to-one	2	1	Orthologues/Cele.tsv
Shae__MS3_00004019	Cele	Cele__WBGene00000099	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00008679	Cele	Cele__WBGene00000405	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00007343	Cele	Cele__WBGene00001978	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00000487	Cele	Cele__WBGene00002247	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00002201	Cele	Cele__WBGene00002210	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00010729	Cele	Cele__WBGene00003401	many-to-one	2	1	Orthologues/Cele.tsv
Shae__MS3_00008190	Cele	Cele__WBGene00003401	many-to-one	2	1	Orthologues/Cele.tsv
Shae__MS3_00008614	Cele	Cele__WBGene00002203	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00004470	Cele	Cele__WBGene00000498, Cele__WBGene00012792, Cele__WBGene00017083, Cele__WBGene00019814, Cele__WBGene00019815, Cele__WBGene00019817	one-to-many	1	6	Orthologues/Cele.tsv
Shae__MS3_00005288	Cele	Cele__WBGene00006484, Cele__WBGene00022717	one-to-many	1	2	Orthologues/Cele.tsv
Shae__MS3_00004459	Cele	Cele__WBGene00016913	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00002715	Cele	Cele__WBGene00020142	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00003183	Cele	Cele__WBGene00017630	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00001381	Cele	Cele__WBGene00016197	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00003535	Cele	Cele__WBGene00001121	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00005371	Cele	Cele__WBGene00002048	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00002824	Cele	Cele__WBGene00002213	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00008957	Cele	Cele__WBGene00002248	many-to-one	3	1	Orthologues/Cele.tsv
Shae__MS3_00004315	Cele	Cele__WBGene00004034	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00008601	Cele	Cele__WBGene00004762	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00006313	Cele	Cele__WBGene00006786	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00001825	Cele	Cele__WBGene00006826	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00007604	Cele	Cele__WBGene00007007	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00007496	Cele	Cele__WBGene00010664	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00002424	Cele	Cele__WBGene00013355	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00005251	Cele	Cele__WBGene00018187	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00006566	Cele	Cele__WBGene00021758	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00007109	Cele	Cele__WBGene00012929, Cele__WBGene00044281	one-to-many	1	2	Orthologues/Cele.tsv
Shae__MS3_00006767	Cele	Cele__WBGene00004727	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00005586	Cele	Cele__WBGene00003150	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00003544	Cele	Cele__WBGene00000410	many-to-one	2	1	Orthologues/Cele.tsv
Shae__MS3_00002534	Cele	Cele__WBGene00000410	many-to-one	2	1	Orthologues/Cele.tsv
Shae__MS3_00009653	Cele	Cele__WBGene00000812	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00008061	Cele	Cele__WBGene00000917	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00005382	Cele	Cele__WBGene00007135	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00001786	Cele	Cele__WBGene00021753	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00008174	Cele	Cele__WBGene00022774	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00004774	Cele	Cele__WBGene00013168	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00011163	Cele	Cele__WBGene00000199	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00006556	Cele	Cele__WBGene00003007	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00005021	Cele	Cele__WBGene00003048	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00004657	Cele	Cele__WBGene00003186	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00004068	Cele	Cele__WBGene00005078	many-to-one	2	1	Orthologues/Cele.tsv
Shae__MS3_00003724	Cele	Cele__WBGene00008956	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00008971	Cele	Cele__WBGene00003368, Cele__WBGene00012162	one-to-many	1	2	Orthologues/Cele.tsv
Shae__MS3_00008673	Cele	Cele__WBGene00017950	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00010803	Cele	Cele__WBGene00000200	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00007174	Cele	Cele__WBGene00000499, Cele__WBGene00011612	one-to-many	1	2	Orthologues/Cele.tsv
Shae__MS3_00005632	Cele	Cele__WBGene00003931	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00004076	Cele	Cele__WBGene00009867	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00007430	Cele	Cele__WBGene00016793	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00008566	Cele	Cele__WBGene00000407	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00007047	Cele	Cele__WBGene00000942	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00007700	Cele	Cele__WBGene00007434	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00009134	Cele	Cele__WBGene00007985, Cele__WBGene00017831	one-to-many	1	2	Orthologues/Cele.tsv
Shae__MS3_00001622	Cele	Cele__WBGene00017033	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00007449	Cele	Cele__WBGene00021012	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00010478	Cele	Cele__WBGene00006876	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00002992	Cele	Cele__WBGene00003402, Cele__WBGene00017277	one-to-many	1	2	Orthologues/Cele.tsv
Shae__MS3_00005180	Cele	Cele__WBGene00000098	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00006521	Cele	Cele__WBGene00003599	one-to-one	1	1	Orthologues/Cele.tsv
Shae__MS3_00009666	Cele	Cele__WBGene00001746	one-to-one	1	1	Orthologues/Cele.tsv
Sjap__EWB00_002502	Cele	Cele__WBGene00000063, Cele__WBGene00000064, Cele__WBGene00000065, Cele__WBGene00000066, Cele__WBGene00000067	one-to-many	1	5	Orthologues/Cele.tsv
Sjap__EWB00_008162	Cele	Cele__WBGene00006868	many-to-one	2	1	Orthologues/Cele.tsv
Sjap__EWB00_009388	Cele	Cele__WBGene00006407, Cele__WBGene00015217, Cele__WBGene00022727	many-to-many	2	3	Orthologues/Cele.tsv
Sjap__EWB00_003590	Cele	Cele__WBGene00006407, Cele__WBGene00015217, Cele__WBGene00022727	many-to-many	2	3	Orthologues/Cele.tsv
Sjap__EWB00_004406	Cele	Cele__WBGene00005077	many-to-one	3	1	Orthologues/Cele.tsv
Sjap__EWB00_007873	Cele	Cele__WBGene00005077	many-to-one	3	1	Orthologues/Cele.tsv
Sjap__EWB00_007520	Cele	Cele__WBGene00005077	many-to-one	3	1	Orthologues/Cele.tsv
Sjap__EWB00_008724	Cele	Cele__WBGene00000553, Cele__WBGene00012328, Cele__WBGene00012332, Cele__WBGene00017860	many-to-many	2	4	Orthologues/Cele.tsv
Sjap__EWB00_006199	Cele	Cele__WBGene00001263, Cele__WBGene00002280	many-to-many	4	2	Orthologues/Cele.tsv
Sjap__EWB00_006201	Cele	Cele__WBGene00001263, Cele__WBGene00002280	many-to-many	4	2	Orthologues/Cele.tsv
Sjap__EWB00_001102	Cele	Cele__WBGene00001263, Cele__WBGene00002280	many-to-many	4	2	Orthologues/Cele.tsv
Sjap__EWB00_006200	Cele	Cele__WBGene00001263, Cele__WBGene00002280	many-to-many	4	2	Orthologues/Cele.tsv
Sjap__EWB00_002919	Cele	Cele__WBGene00003929	one-to-one	1	1	Orthologues/Cele.tsv
Sjap__EWB00_001228	Cele	Cele__WBGene00000900	one-to-one	1	1	Orthologues/Cele.tsv
Sjap__EWB00_009358	Cele	Cele__WBGene00004033, Cele__WBGene00006599	one-to-many	1	2	Orthologues/Cele.tsv
Sjap__EWB00_010727	Cele	Cele__WBGene00004855, Cele__WBGene00006803	many-to-many	2	2	Orthologues/Cele.tsv
Sjap__EWB00_004137	Cele	Cele__WBGene00004855, Cele__WBGene00006803	many-to-many	2	2	Orthologues/Cele.tsv
Sjap__EWB00_002194	Cele	Cele__WBGene00008311, Cele__WBGene00011352	one-to-many	1	2	Orthologues/Cele.tsv
Sjap__EWB00_002869	Cele	Cele__WBGene00003930	one-to-one	1	1	Orthologues/Cele.tsv
Sjap__EWB00_008748	Cele	Cele__WBGene00001184, Cele__WBGene00002195, Cele__WBGene00020106	one-to-many	1	3	Orthologues/Cele.tsv
Sjap__EWB00_006050	Cele	Cele__WBGene00000228	many-to-one	2	1	Orthologues/Cele.tsv
Sjap__EWB00_010649	Cele	Cele__WBGene00000228	many-to-one	2	1	Orthologues/Cele.tsv
Sjap__EWB00_008807	Cele	Cele__WBGene00006794, Cele__WBGene00302980	many-to-many	2	2	Orthologues/Cele.tsv
Sjap__EWB00_003359	Cele	Cele__WBGene00006794, Cele__WBGene00302980	many-to-many	2	2	Orthologues/Cele.tsv
Sjap__EWB00_009781	Cele	Cele__WBGene00003396, Cele__WBGene00006971, Cele__WBGene00013643	one-to-many	1	3	Orthologues/Cele.tsv
Sjap__EWB00_006315	Cele	Cele__WBGene00004186	many-to-one	6	1	Orthologues/Cele.tsv
Sjap__EWB00_008747	Cele	Cele__WBGene00001132, Cele__WBGene00004112, Cele__WBGene00014262	one-to-many	1	3	Orthologues/Cele.tsv
Sjap__EWB00_004179	Cele	Cele__WBGene00006517	many-to-one	2	1	Orthologues/Cele.tsv
Sjap__EWB00_002775	Cele	Cele__WBGene00022048	many-to-one	2	1	Orthologues/Cele.tsv
Sjap__EWB00_006234	Cele	Cele__WBGene00022048	many-to-one	2	1	Orthologues/Cele.tsv
Sjap__EWB00_009122	Cele	Cele__WBGene00004055, Cele__WBGene00004056	one-to-many	1	2	Orthologues/Cele.tsv
Sjap__EWB00_007965	Cele	Cele__WBGene00000898	many-to-one	2	1	Orthologues/Cele.tsv
Sjap__EWB00_003876	Cele	Cele__WBGene00013869	one-to-one	1	1	Orthologues/Cele.tsv
Sjap__EWB00_007512	Cele	Cele__WBGene00002189	many-to-one	3	1	Orthologues/Cele.tsv
Sjap__EWB00_004196	Cele	Cele__WBGene00002189	many-to-one	3	1	Orthologues/Cele.tsv
Sjap__EWB00_007721	Cele	Cele__WBGene00002189	many-to-one	3	1	Orthologues/Cele.tsv
Sjap__EWB00_003065	Cele	Cele__WBGene00006779	one-to-one	1	1	Orthologues/Cele.tsv
Sjap__EWB00_009560	Cele	Cele__WBGene00006999	one-to-one	1	1	Orthologues/Cele.tsv
Sjap__EWB00_003107	Cele	Cele__WBGene00006746	many-to-one	2	1	Orthologues/Cele.tsv
Sjap__EWB00_002313	Cele	Cele__WBGene00006746	many-to-one	2	1	Orthologues/Cele.tsv
Sjap__EWB00_003747	Cele	Cele__WBGene00001487, Cele__WBGene00002198, Cele__WBGene00020659, Cele__WBGene00022780	one-to-many	1	4	Orthologues/Cele.tsv
Sjap__EWB00_003063	Cele	Cele__WBGene00004740	one-to-one	1	1	Orthologues/Cele.tsv
Sjap__EWB00_011039	Cele	Cele__WBGene00002081	one-to-one	1	1	Orthologues/Cele.tsv
