sequence_id	species	length	candidate
Hsap__GeneID_1277	Hsap	1464	0
Hsap__GeneID_1278	Hsap	1366	0
Hsap__GeneID_1280	Hsap	1535	0
Hsap__GeneID_1281	Hsap	1466	0
Hsap__GeneID_1290	Hsap	1499	0
Hsap__GeneID_255631	Hsap	1729	0
Hsap__GeneID_85301	Hsap	1860	0
Mmus__GeneID_12824	Mmus	1487	0
Mmus__GeneID_12825	Mmus	1464	0
Mmus__GeneID_12832	Mmus	1497	0
Mmus__GeneID_12842	Mmus	1453	0
Mmus__GeneID_12843	Mmus	1372	0
Mmus__GeneID_373864	Mmus	1846	0
Mmus__GeneID_71355	Mmus	1733	0
Shae__MS3_00005611	Shae	1390	1
Shae__MS3_00007363	Shae	1329	1
Shae__MS3_00007701	Shae	1157	1
Sjap__EWB00_007395	Sjap	1327	1
Sjap__EWB00_008239	Sjap	1296	1
Sjap__EWB00_010448	Sjap	311	1
Sman__Smp_135560	Sman	1298	1
Sman__Smp_164590	Sman	1540	1
Sman__Smp_343740	Sman	1329	1
Xlae__GeneID_108699974	Xlae	1707	0
Xlae__GeneID_108700840	Xlae	1449	0
Xlae__GeneID_108701482	Xlae	1467	0
Xlae__GeneID_108701483	Xlae	1491	0
Xlae__GeneID_108703076	Xlae	1493	0
Xlae__GeneID_108705040	Xlae	1704	0
Xlae__GeneID_108714172	Xlae	1667	0
Xlae__GeneID_108719903	Xlae	1358	0
Xlae__GeneID_380419	Xlae	1358	0
Xlae__GeneID_380515	Xlae	1449	0
Xlae__GeneID_397738	Xlae	1486	0
Xlae__GeneID_397739	Xlae	1491	0
Xlae__GeneID_398983	Xlae	1464	0
