#node	identifier	category	term ID	term description
A0A3Q0KB95	6183.A0A3Q0KB95	GO Process	GO:0006996	Organelle organization
A0A3Q0KB95	6183.A0A3Q0KB95	GO Process	GO:0007010	Cytoskeleton organization
A0A3Q0KB95	6183.A0A3Q0KB95	GO Process	GO:0009987	Cellular process
A0A3Q0KB95	6183.A0A3Q0KB95	GO Process	GO:0016043	Cellular component organization
A0A3Q0KB95	6183.A0A3Q0KB95	GO Process	GO:0030029	Actin filament-based process
A0A3Q0KB95	6183.A0A3Q0KB95	GO Process	GO:0030036	Actin cytoskeleton organization
A0A3Q0KB95	6183.A0A3Q0KB95	GO Process	GO:0071840	Cellular component organization or biogenesis
A0A3Q0KB95	6183.A0A3Q0KB95	GO Function	GO:0003779	Actin binding
A0A3Q0KB95	6183.A0A3Q0KB95	GO Function	GO:0005488	Binding
A0A3Q0KB95	6183.A0A3Q0KB95	GO Function	GO:0005515	Protein binding
A0A3Q0KB95	6183.A0A3Q0KB95	GO Function	GO:0008092	Cytoskeletal protein binding
A0A3Q0KB95	6183.A0A3Q0KB95	GO Function	GO:0044877	Protein-containing complex binding
A0A3Q0KB95	6183.A0A3Q0KB95	GO Function	GO:0051015	Actin filament binding
A0A3Q0KB95	6183.A0A3Q0KB95	GO Component	GO:0005622	Intracellular anatomical structure
A0A3Q0KB95	6183.A0A3Q0KB95	GO Component	GO:0005737	Cytoplasm
A0A3Q0KB95	6183.A0A3Q0KB95	GO Component	GO:0005856	Cytoskeleton
A0A3Q0KB95	6183.A0A3Q0KB95	GO Component	GO:0043226	Organelle
A0A3Q0KB95	6183.A0A3Q0KB95	GO Component	GO:0043228	Membraneless organelle
A0A3Q0KB95	6183.A0A3Q0KB95	GO Component	GO:0043229	Intracellular organelle
A0A3Q0KB95	6183.A0A3Q0KB95	GO Component	GO:0043232	Intracellular membraneless organelle
A0A3Q0KB95	6183.A0A3Q0KB95	GO Component	GO:0071944	Cell periphery
A0A3Q0KB95	6183.A0A3Q0KB95	GO Component	GO:0110165	Cellular anatomical structure
A0A3Q0KB95	6183.A0A3Q0KB95	STRING clusters	CL:11459	Mixed, incl. Annexin superfamily, and Collagen biosynthesis and modifying enzymes
A0A3Q0KB95	6183.A0A3Q0KB95	STRING clusters	CL:11651	Mixed, incl. Annexin superfamily, and Serine proteases, trypsin domain
A0A3Q0KB95	6183.A0A3Q0KB95	STRING clusters	CL:11652	Annexin superfamily, and Filamin family
A0A3Q0KB95	6183.A0A3Q0KB95	STRING clusters	CL:11706	Filamin family, and Host cell
A0A3Q0KB95	6183.A0A3Q0KB95	COMPARTMENTS	GOCC:0005622	Intracellular anatomical structure
A0A3Q0KB95	6183.A0A3Q0KB95	COMPARTMENTS	GOCC:0043226	Organelle
A0A3Q0KB95	6183.A0A3Q0KB95	COMPARTMENTS	GOCC:0043229	Intracellular organelle
