#node	identifier	domain_summary_url	annotation	other_names_and_aliases
Act5C	6182.Q5DF69	SJCHGC06318 protein.	https://smart.embl.de/smart/DDvec.cgi?smart=376:ACTIN(6|376)+	Act5C,Actin 5C,Actin-2,EWB00_007517,Q5DF69,Q5DF69_SCHJA,SJCHGC06318 protein
EWB00_000274	6182.A0A4Z2DJH5	Collagen alpha-1(V) chain isoform 2.	https://smart.embl.de/smart/DDvec.cgi?smart=1655:SIGNAL(1|25)+TSPN(62|245)+Pfam_Collagen(389|466)+Pfam_Collagen(698|762)+Pfam_Collagen(803|870)+Pfam_Collagen(1307|1367)+COLFI(1395|1654)+	A0A4Z2DJH5,A0A4Z2DJH5_SCHJA,Collagen alpha-1(V) chain isoform 2,EWB00_000274
EWB00_001102	6182.A0A4Z2DGT3	Collagen alpha-1(IV) chain isoform 1.	https://smart.embl.de/smart/DDvec.cgi?smart=1762:SIGNAL(1|25)+Pfam_Collagen(98|170)+Pfam_Collagen(167|227)+Pfam_Collagen(252|312)+Pfam_Collagen(305|363)+Pfam_Collagen(612|670)+Pfam_Collagen(717|774)+Pfam_Collagen(766|827)+Pfam_Collagen(829|890)+Pfam_Collagen(922|990)+Pfam_Collagen(1070|1126)+Pfam_Collagen(1165|1226)+Pfam_Collagen(1414|1484)+C4(1530|1639)+C4(1640|1756)+	A0A4Z2DGT3,A0A4Z2DGT3_SCHJA,Collagen alpha-1(IV) chain isoform 1,EWB00_001102
EWB00_001311	6182.A0A4Z2DG67	Collagen alpha-2(I) chain.	https://smart.embl.de/smart/DDvec.cgi?smart=1551:LamG(4|144)+Pfam_Collagen(291|362)+Pfam_Collagen(1187|1249)+COLFI(1309|1551)+	A0A4Z2DG67,A0A4Z2DG67_SCHJA,Collagen alpha-2(I) chain,EWB00_001311
EWB00_001328	6182.A0A4Z2DG14	Laminin subunit alpha-1.	https://smart.embl.de/smart/DDvec.cgi?smart=3516:LamNT(67|340)+EGF_like(342|393)+EGF_Lam(396|463)+EGF_Lam(466|520)+EGF_like(523|572)+Pfam_Laminin_B(663|849)+Pfam_Laminin_EGF(846|880)+EGF_Lam(908|955)+EGF_Lam(958|1016)+EGF_Lam(1019|1063)+EGF_Lam(1066|1110)+EGF_Lam(1113|1162)+EGF_Lam(1165|1210)+EGF_Lam(1213|1264)+EGF_Lam(1267|1310)+EGF_Lam(1313|1359)+EGF_Lam(1362|1419)+EGF_Lam(1723|1768)+EGF_Lam(1771|1825)+EGF_Lam(1828|1872)+	A0A4Z2DG14,A0A4Z2DG14_SCHJA,EWB00_001328,Laminin subunit alpha-1
EWB00_001408	6182.A0A4Z2DX44	Actin-related protein; Belongs to the actin family.	https://smart.embl.de/smart/DDvec.cgi?smart=417:ACTIN(2|415)+	A0A4Z2DX44,A0A4Z2DX44_SCHJA,Actin-related protein,EWB00_001408
EWB00_001471	6182.A0A4Z2DFS2	Tyrosine-protein kinase.	https://smart.embl.de/smart/DDvec.cgi?smart=859:PH(7|120)+BTK(122|158)+SH3(342|398)+SH2(403|557)+TyrKc(590|841)+	2.7.10.2,A0A4Z2DFS2,A0A4Z2DFS2_SCHJA,EWB00_001471,Tyrosine-protein kinase
EWB00_001618	6182.A0A4Z2DF74	Actin-like protein isoform 3; Belongs to the actin family.	https://smart.embl.de/smart/DDvec.cgi?smart=434:ACTIN(5|409)+	A0A4Z2DF74,A0A4Z2DF74_SCHJA,Actin-like protein isoform 3,EWB00_001618
EWB00_002103	6182.A0A4Z2DDE8	Fermitin family 1.	https://smart.embl.de/smart/DDvec.cgi?smart=852:PH(507|633)+	A0A4Z2DDE8,A0A4Z2DDE8_SCHJA,EWB00_002103,Fermitin family 1
EWB00_002502	6182.Q71TT8	Actin-2 isoform 2.	https://smart.embl.de/smart/DDvec.cgi?smart=376:ACTIN(6|376)+	Actin,Actin-2,Actin-2 isoform 2,EWB00_002502,Q71TT8,Q71TT8_SCHJA
EWB00_002741	6182.A0A4Z2DB14	Laminin subunit beta-2.	https://smart.embl.de/smart/DDvec.cgi?smart=1765:SIGNAL(1|18)+LamNT(29|268)+EGF_Lam(270|331)+EGF_Lam(334|394)+EGF_Lam(397|454)+EGF_Lam(457|505)+EGF_Lam(508|551)+EGF_Lam(715|760)+EGF_Lam(763|806)+EGF_Lam(809|854)+EGF_Lam(857|909)+EGF_Lam(912|961)+EGF_Lam(964|1013)+EGF_Lam(1016|1063)+EGF_Lam(1066|1110)+	A0A4Z2DB14,A0A4Z2DB14_SCHJA,EWB00_002741,Laminin subunit beta-2
