branch_id	support_label	tip_count	species	tip_ids	direct_orthology_edges_within	exact_duplication_rows	interpretation
B0002	100/100	15	Dmel,Hsap,Mmus,Shae,Sjap,Sman,Xlae	Dmel__GeneID_37247,Hsap__GeneID_6788,Hsap__GeneID_6789,Hsap__GeneID_80122,Mmus__GeneID_22625,Mmus__GeneID_56274,Mmus__GeneID_58231,Shae__MS3_00004635,Sjap__EWB00_002413,Sman__Smp_333410,Xlae__GeneID_108701280,Xlae__GeneID_108719348,Xlae__GeneID_398925,Xlae__GeneID_432210,Xlae__GeneID_779226	36		unrooted split; no ancestry or duplication timing assigned
B0003	62.2/37	12	Dmel,Hsap,Mmus,Xlae	Dmel__GeneID_37247,Hsap__GeneID_6788,Hsap__GeneID_6789,Hsap__GeneID_80122,Mmus__GeneID_22625,Mmus__GeneID_56274,Mmus__GeneID_58231,Xlae__GeneID_108701280,Xlae__GeneID_108719348,Xlae__GeneID_398925,Xlae__GeneID_432210,Xlae__GeneID_779226	0		unrooted split; no ancestry or duplication timing assigned
B0004	89.3/34	11	Hsap,Mmus,Xlae	Hsap__GeneID_6788,Hsap__GeneID_6789,Hsap__GeneID_80122,Mmus__GeneID_22625,Mmus__GeneID_56274,Mmus__GeneID_58231,Xlae__GeneID_108701280,Xlae__GeneID_108719348,Xlae__GeneID_398925,Xlae__GeneID_432210,Xlae__GeneID_779226	0		unrooted split; no ancestry or duplication timing assigned
B0005	92.1/89	4	Hsap,Mmus,Xlae	Hsap__GeneID_6788,Mmus__GeneID_56274,Xlae__GeneID_108719348,Xlae__GeneID_432210	0		unrooted split; no ancestry or duplication timing assigned
B0006	54.9/65	2	Hsap,Mmus	Hsap__GeneID_6788,Mmus__GeneID_56274	0		unrooted split; no ancestry or duplication timing assigned
B0007	88.5/99	2	Xlae	Xlae__GeneID_108719348,Xlae__GeneID_432210	0		unrooted split; no ancestry or duplication timing assigned
B0008	91.1/34	7	Hsap,Mmus,Xlae	Hsap__GeneID_6789,Hsap__GeneID_80122,Mmus__GeneID_22625,Mmus__GeneID_58231,Xlae__GeneID_108701280,Xlae__GeneID_398925,Xlae__GeneID_779226	0		unrooted split; no ancestry or duplication timing assigned
B0009	95.7/69	2	Hsap,Mmus	Hsap__GeneID_6789,Mmus__GeneID_58231	0		unrooted split; no ancestry or duplication timing assigned
B0010	82.6/58	5	Hsap,Mmus,Xlae	Hsap__GeneID_80122,Mmus__GeneID_22625,Xlae__GeneID_108701280,Xlae__GeneID_398925,Xlae__GeneID_779226	0		unrooted split; no ancestry or duplication timing assigned
B0011	100/100	3	Hsap,Mmus,Xlae	Hsap__GeneID_80122,Mmus__GeneID_22625,Xlae__GeneID_108701280	0		unrooted split; no ancestry or duplication timing assigned
B0012	92.9/96	2	Hsap,Mmus	Hsap__GeneID_80122,Mmus__GeneID_22625	0		unrooted split; no ancestry or duplication timing assigned
B0013	51.3/84	2	Xlae	Xlae__GeneID_398925,Xlae__GeneID_779226	0		unrooted split; no ancestry or duplication timing assigned
B0014	100/100	3	Shae,Sjap,Sman	Shae__MS3_00004635,Sjap__EWB00_002413,Sman__Smp_333410	0		unrooted split; no ancestry or duplication timing assigned
B0015	75.7/45	2	Shae,Sjap	Shae__MS3_00004635,Sjap__EWB00_002413	0		unrooted split; no ancestry or duplication timing assigned
