Accession,GOids,GOterms,Score,Signal Peptide,Mitochondrion Transit Peptide,Chloroplast Transit Peptide,Transmembrane Alpha Helix,Transmembrane Beta Strand,GPI-anchor
Shae__MS3_00000278,GO:0005886,C:plasma membrane,0.85,,,,386-401;658-669;3020-3041,,
Shae__MS3_00000359,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00000487,GO:0005615,C:extracellular space,1.0,1-19,,,,,
Shae__MS3_00000825,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00000941,GO:0005615,C:extracellular space,0.94,1-25,,,,,
Shae__MS3_00001381,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00001471,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00001484,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00001622,GO:0012505,C:endomembrane system,0.69,,,,423-434;543-554,,
Shae__MS3_00001662,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00001716,GO:0005615,C:extracellular space,0.7,,,,,,
Shae__MS3_00001770,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00001771,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00001786,GO:0005739,C:mitochondrion,0.81,,,,,,
Shae__MS3_00001825,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00001856,GO:0005739,C:mitochondrion,1.0,,,,,,
Shae__MS3_00001861,GO:0005615,C:extracellular space,0.77,1-33,,,,,
Shae__MS3_00001957,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00002201,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00002403,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00002424,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00002534,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00002568,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00002636,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00002715,GO:0005739,C:mitochondrion,0.75,,,,,,
Shae__MS3_00002771,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00002812,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00002824,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00002992,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00003104,GO:0005739,C:mitochondrion,1.0,,,,,,
Shae__MS3_00003129,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00003183,GO:0005886,C:plasma membrane,0.59,,,,284-299,,
Shae__MS3_00003185,GO:0005739,C:mitochondrion,1.0,,,,,,
Shae__MS3_00003218,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00003235,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00003290,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00003343,GO:0005886,C:plasma membrane,0.77,,,,558-569;602-617,,
Shae__MS3_00003383,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00003400,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00003535,GO:0012505,C:endomembrane system,0.76,,,,59-70;182-193,,
Shae__MS3_00003544,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00003616,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00003633,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00003724,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00003923,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00003948,GO:0005739,C:mitochondrion,1.0,,,,,,
Shae__MS3_00003962,GO:0005615,C:extracellular space,0.98,1-16,,,,,
Shae__MS3_00004019,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00004068,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00004070,GO:0005615,C:extracellular space,0.99,1-21,,,,,
Shae__MS3_00004076,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00004152,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00004315,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00004398,GO:0005634,C:nucleus,1.0,,,,,,
Shae__MS3_00004405,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00004459,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00004470,GO:0005737,C:cytoplasm,0.7,,,,,,
Shae__MS3_00004525,GO:0005737,C:cytoplasm,1.0,,,,,,
Shae__MS3_00004635,GO:0005634,C:nucleus,1.0,,,,,,
