#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-121BC2D0B85A57AD-230B9E948119D13C
#datatype	hitsFull Results
#status	0
#Start time	2026-09-19T20:31:15	Run time	0:00:00:22
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >Shae__MS3_00000599	non-specific	350402	1449	1686	3.07227e-117	369.546	cd14554	R-PTP-LAR-2	 - 	cl28904
Q#1 - >Shae__MS3_00000599	superfamily	475123	1449	1686	3.07227e-117	369.546	cl28904	PTP_DSP_cys superfamily	 - 	 - 
Q#1 - >Shae__MS3_00000599	non-specific	350401	1082	1326	2.19893e-109	347.462	cd14553	R-PTPc-LAR-1	 - 	cl28904
Q#1 - >Shae__MS3_00000599	superfamily	475123	1082	1326	2.19893e-109	347.462	cl28904	PTP_DSP_cys superfamily	 - 	 - 
Q#1 - >Shae__MS3_00000599	non-specific	350477	1454	1692	2.04868e-107	344.402	cd14629	R-PTP-F-2	 - 	cl28904
Q#1 - >Shae__MS3_00000599	non-specific	350476	1454	1693	7.11635e-107	342.867	cd14628	R-PTP-D-2	 - 	cl28904
Q#1 - >Shae__MS3_00000599	non-specific	350475	1397	1691	1.73289e-106	341.713	cd14627	R-PTP-S-2	 - 	cl28904
Q#1 - >Shae__MS3_00000599	specific	214550	1058	1323	3.28345e-97	313.827	smart00194	PTPc	 - 	cl33376
Q#1 - >Shae__MS3_00000599	superfamily	214550	1058	1323	3.28345e-97	313.827	cl33376	PTPc superfamily	 - 	 - 
Q#1 - >Shae__MS3_00000599	non-specific	350473	1037	1325	1.82925e-93	304.323	cd14625	R-PTPc-S-1	 - 	cl28904
Q#1 - >Shae__MS3_00000599	non-specific	350474	1047	1326	7.46725e-93	302.34	cd14626	R-PTPc-F-1	 - 	cl28904
Q#1 - >Shae__MS3_00000599	non-specific	350472	1037	1329	1.45758e-92	301.65	cd14624	R-PTPc-D-1	 - 	cl28904
Q#1 - >Shae__MS3_00000599	specific	459674	1084	1323	1.00331e-91	297.231	pfam00102	Y_phosphatase	 - 	cl47500
Q#1 - >Shae__MS3_00000599	superfamily	459674	1084	1323	1.00331e-91	297.231	cl47500	Y_phosphatase superfamily	 - 	 - 
Q#1 - >Shae__MS3_00000599	specific	214550	1445	1687	5.9052e-89	290.33	smart00194	PTPc	 - 	cl33376
Q#1 - >Shae__MS3_00000599	superfamily	214550	1445	1687	5.9052e-89	290.33	cl33376	PTPc superfamily	 - 	 - 
Q#1 - >Shae__MS3_00000599	specific	459674	1454	1682	1.09332e-86	282.594	pfam00102	Y_phosphatase	 - 	cl47500
Q#1 - >Shae__MS3_00000599	superfamily	459674	1454	1682	1.09332e-86	282.594	cl47500	Y_phosphatase superfamily	 - 	 - 
Q#1 - >Shae__MS3_00000599	non-specific	350343	1123	1318	5.9876e-86	279.17	cd00047	PTPc	 - 	cl28904
Q#1 - >Shae__MS3_00000599	non-specific	350397	1123	1318	3.27714e-83	271.532	cd14549	R5-PTPc-1	 - 	cl28904
Q#1 - >Shae__MS3_00000599	non-specific	350343	1484	1683	6.12631e-81	264.918	cd00047	PTPc	 - 	cl28904
Q#1 - >Shae__MS3_00000599	non-specific	350505	1058	1325	9.27592e-80	264.59	cd17667	R-PTPc-G-1	 - 	cl28904
Q#1 - >Shae__MS3_00000599	non-specific	350400	1484	1682	1.05888e-76	252.96	cd14552	R-PTPc-A-E-2	 - 	cl28904
Q#1 - >Shae__MS3_00000599	non-specific	350396	1089	1318	2.81692e-76	252.275	cd14548	R3-PTPc	 - 	cl28904
Q#1 - >Shae__MS3_00000599	non-specific	350391	1078	1319	2.20761e-75	251.9	cd14543	PTPc-N9	 - 	cl28904
Q#1 - >Shae__MS3_00000599	non-specific	350471	1459	1682	5.23465e-75	249.191	cd14623	R-PTPc-A-2	 - 	cl28904
Q#1 - >Shae__MS3_00000599	non-specific	350402	1079	1322	3.74792e-74	247.052	cd14554	R-PTP-LAR-2	 - 	cl28904
Q#1 - >Shae__MS3_00000599	non-specific	350478	1082	1324	4.18249e-73	244.165	cd14630	R-PTPc-T-1	 - 	cl28904
Q#1 - >Shae__MS3_00000599	non-specific	350401	1453	1691	6.92259e-72	240.376	cd14553	R-PTPc-LAR-1	 - 	cl28904
Q#1 - >Shae__MS3_00000599	non-specific	350396	1459	1680	6.45763e-70	234.171	cd14548	R3-PTPc	 - 	cl28904
Q#1 - >Shae__MS3_00000599	non-specific	350403	1123	1324	4.33378e-69	230.959	cd14555	R-PTPc-typeIIb-1	 - 	cl28904
Q#1 - >Shae__MS3_00000599	non-specific	350481	1058	1324	6.92559e-68	230.315	cd14633	R-PTPc-M-1	 - 	cl28904
Q#1 - >Shae__MS3_00000599	non-specific	350476	1044	1323	1.74441e-67	230.003	cd14628	R-PTP-D-2	 - 	cl28904
Q#1 - >Shae__MS3_00000599	non-specific	350475	1070	1323	8.4238e-67	228.079	cd14627	R-PTP-S-2	 - 	cl28904
Q#1 - >Shae__MS3_00000599	non-specific	350470	1483	1688	8.94126e-67	224.499	cd14622	R-PTPc-E-2	 - 	cl28904
Q#1 - >Shae__MS3_00000599	non-specific	350477	1057	1323	1.01929e-65	224.99	cd14629	R-PTP-F-2	 - 	cl28904
Q#1 - >Shae__MS3_00000599	non-specific	350395	1088	1318	2.90911e-65	220.731	cd14547	PTPc-KIM	 - 	cl28904
