#node	identifier	category	term ID	term description
Act5C	6182.Q5DF69	GO Process	GO:0009653	Anatomical structure morphogenesis
Act5C	6182.Q5DF69	GO Process	GO:0009987	Cellular process
Act5C	6182.Q5DF69	GO Process	GO:0032502	Developmental process
Act5C	6182.Q5DF69	GO Process	GO:0048856	Anatomical structure development
Act5C	6182.Q5DF69	GO Function	GO:0000166	Nucleotide binding
Act5C	6182.Q5DF69	GO Function	GO:0005488	Binding
Act5C	6182.Q5DF69	GO Function	GO:0005524	ATP binding
Act5C	6182.Q5DF69	GO Function	GO:0017076	Purine nucleotide binding
Act5C	6182.Q5DF69	GO Function	GO:0030554	Adenyl nucleotide binding
Act5C	6182.Q5DF69	GO Function	GO:0032553	Ribonucleotide binding
Act5C	6182.Q5DF69	GO Function	GO:0032555	Purine ribonucleotide binding
Act5C	6182.Q5DF69	GO Function	GO:0032559	Adenyl ribonucleotide binding
Act5C	6182.Q5DF69	GO Function	GO:0035639	Purine ribonucleoside triphosphate binding
Act5C	6182.Q5DF69	GO Function	GO:0036094	Small molecule binding
Act5C	6182.Q5DF69	GO Function	GO:0043167	Ion binding
Act5C	6182.Q5DF69	GO Function	GO:0043168	Anion binding
Act5C	6182.Q5DF69	GO Function	GO:0097367	Carbohydrate derivative binding
Act5C	6182.Q5DF69	GO Function	GO:1901265	Nucleoside phosphate binding
Act5C	6182.Q5DF69	GO Function	GO:1901363	Heterocyclic compound binding
Act5C	6182.Q5DF69	GO Component	GO:0005622	Intracellular anatomical structure
Act5C	6182.Q5DF69	GO Component	GO:0005856	Cytoskeleton
Act5C	6182.Q5DF69	GO Component	GO:0015629	Actin cytoskeleton
Act5C	6182.Q5DF69	GO Component	GO:0043226	Organelle
Act5C	6182.Q5DF69	GO Component	GO:0043228	Membraneless organelle
Act5C	6182.Q5DF69	GO Component	GO:0043229	Intracellular organelle
Act5C	6182.Q5DF69	GO Component	GO:0043232	Intracellular membraneless organelle
Act5C	6182.Q5DF69	GO Component	GO:0110165	Cellular anatomical structure
Act5C	6182.Q5DF69	STRING clusters	CL:1240	Dynein complex, and Cilium movement
Act5C	6182.Q5DF69	STRING clusters	CL:1241	Dynein complex, and Tubulin
Act5C	6182.Q5DF69	STRING clusters	CL:1243	Dynein, and Tubulin
Act5C	6182.Q5DF69	STRING clusters	CL:1244	Dynein, and Dynactin complex
