sequence_id	species	length	candidate
Cele__WBGene00006868	Cele	1117	0
Hsap__GeneID_1969	Hsap	976	0
Hsap__GeneID_2041	Hsap	976	0
Hsap__GeneID_2042	Hsap	983	0
Hsap__GeneID_2043	Hsap	986	0
Hsap__GeneID_2044	Hsap	1038	0
Hsap__GeneID_2045	Hsap	998	0
Hsap__GeneID_2046	Hsap	1005	0
Hsap__GeneID_2047	Hsap	984	0
Hsap__GeneID_2048	Hsap	1055	0
Hsap__GeneID_2049	Hsap	998	0
Hsap__GeneID_2050	Hsap	1005	0
Hsap__GeneID_2051	Hsap	1022	0
Hsap__GeneID_284656	Hsap	1008	0
Hsap__GeneID_285220	Hsap	1146	0
Shae__MS3_00001438	Shae	1311	0
Sjap__EWB00_008162	Sjap	548	1
Sjap__EWB00_008163	Sjap	761	0
Sman__Smp_139480	Sman	1266	0
