candidate_id	prepared_id	mapping_status	HOG	Orthogroup	Hsap_orthologues	Hsap_relationship	Cele_orthologues	Cele_relationship	Dmel_orthologues	Dmel_relationship	Mmus_orthologues	Mmus_relationship	Xlae_orthologues	Xlae_relationship	HOG_status	Hsap_HOG_copy_counts	Cele_HOG_copy_counts	Shae_HOG_copy_counts	Sjap_HOG_copy_counts	Sman_HOG_copy_counts	Dmel_HOG_copy_counts	Mmus_HOG_copy_counts	Xlae_HOG_copy_counts
Shae__MS3_00000278	Shae__MS3_00000278	matched	OG0001448	OG0001448	Hsap__GeneID_7094, Hsap__GeneID_83660	many-to-many	Cele__WBGene00006771	many-to-one	Dmel__GeneID_38978	many-to-one	Mmus__GeneID_21894, Mmus__GeneID_70549	many-to-many	Xlae__GeneID_100037170, Xlae__GeneID_108711290, Xlae__GeneID_108712994, Xlae__GeneID_733283	many-to-many	shared HOG	2	1	2	2	2	1	2	4
Shae__MS3_00000359	Shae__MS3_00000359	matched	OG0000005	OG0000005		no direct pairwise orthologue detected	Cele__WBGene00044435	many-to-one		no direct pairwise orthologue detected		no direct pairwise orthologue detected	Xlae__GeneID_108705944, Xlae__GeneID_108712235, Xlae__GeneID_108715517, Xlae__GeneID_108717572, Xlae__GeneID_108719567, Xlae__GeneID_121393190, Xlae__GeneID_121393310, Xlae__GeneID_121393319, Xlae__GeneID_121393438, Xlae__GeneID_121393678, Xlae__GeneID_121393682, Xlae__GeneID_121393683, Xlae__GeneID_121394190, Xlae__GeneID_121394321, Xlae__GeneID_121394461, Xlae__GeneID_121394466, Xlae__GeneID_121394577, Xlae__GeneID_121394675, Xlae__GeneID_121394762, Xlae__GeneID_121394794, Xlae__GeneID_121394795, Xlae__GeneID_121395027, Xlae__GeneID_121395420, Xlae__GeneID_121395423, Xlae__GeneID_121395632, Xlae__GeneID_121396006, Xlae__GeneID_121396313, Xlae__GeneID_121396314, Xlae__GeneID_121396364, Xlae__GeneID_121396901, Xlae__GeneID_121397278, Xlae__GeneID_121397294, Xlae__GeneID_121397295, Xlae__GeneID_121397779, Xlae__GeneID_121397888, Xlae__GeneID_121397889, Xlae__GeneID_121397955, Xlae__GeneID_121398035, Xlae__GeneID_121398331, Xlae__GeneID_121398874, Xlae__GeneID_121399034, Xlae__GeneID_121399276, Xlae__GeneID_121399321, Xlae__GeneID_121399335, Xlae__GeneID_121399340, Xlae__GeneID_121399944, Xlae__GeneID_121399959, Xlae__GeneID_121399965, Xlae__GeneID_121399967, Xlae__GeneID_121399968, Xlae__GeneID_121400044, Xlae__GeneID_121400508, Xlae__GeneID_121400535, Xlae__GeneID_121400706, Xlae__GeneID_121401411, Xlae__GeneID_121402154, Xlae__GeneID_121402280, Xlae__GeneID_121402990, Xlae__GeneID_121403118, Xlae__GeneID_121403119, Xlae__GeneID_121403691	many-to-many	shared HOG	0	1	64	38	7	0	0	61
Shae__MS3_00000487	Shae__MS3_00000487	matched	OG0001608	OG0001608	Hsap__GeneID_22798, Hsap__GeneID_3912, Hsap__GeneID_3913	one-to-many	Cele__WBGene00002247	one-to-one	Dmel__GeneID_34068	one-to-one	Mmus__GeneID_16777, Mmus__GeneID_16779	one-to-many	Xlae__GeneID_108711178, Xlae__GeneID_108711179, Xlae__GeneID_108713081, Xlae__GeneID_108715891, Xlae__GeneID_494988	one-to-many	shared HOG	3	1	1	1	1	1	2	5
Shae__MS3_00000825	Shae__MS3_00000825	matched	OG0000005	OG0000005		no direct pairwise orthologue detected	Cele__WBGene00044435	many-to-one		no direct pairwise orthologue detected		no direct pairwise orthologue detected	Xlae__GeneID_108705944, Xlae__GeneID_108712235, Xlae__GeneID_108715517, Xlae__GeneID_108717572, Xlae__GeneID_108719567, Xlae__GeneID_121393190, Xlae__GeneID_121393310, Xlae__GeneID_121393319, Xlae__GeneID_121393438, Xlae__GeneID_121393678, Xlae__GeneID_121393682, Xlae__GeneID_121393683, Xlae__GeneID_121394190, Xlae__GeneID_121394321, Xlae__GeneID_121394461, Xlae__GeneID_121394466, Xlae__GeneID_121394577, Xlae__GeneID_121394675, Xlae__GeneID_121394762, Xlae__GeneID_121394794, Xlae__GeneID_121394795, Xlae__GeneID_121395027, Xlae__GeneID_121395420, Xlae__GeneID_121395423, Xlae__GeneID_121395632, Xlae__GeneID_121396006, Xlae__GeneID_121396313, Xlae__GeneID_121396314, Xlae__GeneID_121396364, Xlae__GeneID_121396901, Xlae__GeneID_121397278, Xlae__GeneID_121397294, Xlae__GeneID_121397295, Xlae__GeneID_121397779, Xlae__GeneID_121397888, Xlae__GeneID_121397889, Xlae__GeneID_121397955, Xlae__GeneID_121398035, Xlae__GeneID_121398331, Xlae__GeneID_121398874, Xlae__GeneID_121399034, Xlae__GeneID_121399276, Xlae__GeneID_121399321, Xlae__GeneID_121399335, Xlae__GeneID_121399340, Xlae__GeneID_121399944, Xlae__GeneID_121399959, Xlae__GeneID_121399965, Xlae__GeneID_121399967, Xlae__GeneID_121399968, Xlae__GeneID_121400044, Xlae__GeneID_121400508, Xlae__GeneID_121400535, Xlae__GeneID_121400706, Xlae__GeneID_121401411, Xlae__GeneID_121402154, Xlae__GeneID_121402280, Xlae__GeneID_121402990, Xlae__GeneID_121403118, Xlae__GeneID_121403119, Xlae__GeneID_121403691	many-to-many	shared HOG	0	1	64	38	7	0	0	61
Shae__MS3_00000941	Shae__MS3_00000941	matched	OG0000309	OG0000309	Hsap__GeneID_1282, Hsap__GeneID_1284, Hsap__GeneID_1285, Hsap__GeneID_1286, Hsap__GeneID_1287, Hsap__GeneID_1288	many-to-many	Cele__WBGene00001263, Cele__WBGene00002280	many-to-many	Dmel__GeneID_33726, Dmel__GeneID_33727	many-to-many	Mmus__GeneID_12826, Mmus__GeneID_12827, Mmus__GeneID_12828, Mmus__GeneID_12829, Mmus__GeneID_12830, Mmus__GeneID_94216	many-to-many	Xlae__GeneID_108698394, Xlae__GeneID_108698395, Xlae__GeneID_108700098, Xlae__GeneID_108700099, Xlae__GeneID_108709738, Xlae__GeneID_108709739, Xlae__GeneID_373763, Xlae__GeneID_373764	many-to-many	shared HOG	6	2	3	4	4	2	6	8
Shae__MS3_00001381	Shae__MS3_00001381	matched	OG0002006	OG0002006	Hsap__GeneID_5829, Hsap__GeneID_7041, Hsap__GeneID_9404	one-to-many	Cele__WBGene00016197	one-to-one	Dmel__GeneID_35215	one-to-one	Mmus__GeneID_107321, Mmus__GeneID_19303, Mmus__GeneID_21804	one-to-many	Xlae__GeneID_734182, Xlae__GeneID_779337	one-to-many	shared HOG	3	1	1	1	1	1	3	2
Shae__MS3_00001471	Shae__MS3_00001471	matched	OG0001424	OG0001424	Hsap__GeneID_1263, Hsap__GeneID_126520, Hsap__GeneID_5347	one-to-many	Cele__WBGene00004042, Cele__WBGene00004043	one-to-many	Dmel__GeneID_40232	one-to-one	Mmus__GeneID_12795, Mmus__GeneID_18817, Mmus__GeneID_216166	one-to-many	Xlae__GeneID_100381164, Xlae__GeneID_100505422, Xlae__GeneID_108701628, Xlae__GeneID_380481	one-to-many	shared HOG	3	2	1	1	1	1	3	4
Shae__MS3_00001484	Shae__MS3_00001484	matched	OG0001055	OG0001055	Hsap__GeneID_3702, Hsap__GeneID_660, Hsap__GeneID_695, Hsap__GeneID_7006, Hsap__GeneID_7294	one-to-many		no direct pairwise orthologue detected	Dmel__GeneID_34132	one-to-one	Mmus__GeneID_12169, Mmus__GeneID_12229, Mmus__GeneID_16428, Mmus__GeneID_21682, Mmus__GeneID_22165	one-to-many	Xlae__GeneID_108698274, Xlae__GeneID_108706583, Xlae__GeneID_108710759, Xlae__GeneID_121402817, Xlae__GeneID_734996	one-to-many	shared HOG	5	0	1	1	1	1	5	5
Shae__MS3_00001622	Shae__MS3_00001622	matched	OG0006027	OG0006027	Hsap__GeneID_152110	one-to-one	Cele__WBGene00017033	one-to-one		no direct pairwise orthologue detected	Mmus__GeneID_674895	one-to-one	Xlae__GeneID_108718926	one-to-one	shared HOG	1	1	1	1	1	0	1	1
Shae__MS3_00001662	Shae__MS3_00001662	matched	OG0002453	OG0002453	Hsap__GeneID_2931, Hsap__GeneID_2932	one-to-many		no direct pairwise orthologue detected	Dmel__GeneID_31248	one-to-one	Mmus__GeneID_56637, Mmus__GeneID_606496	one-to-many	Xlae__GeneID_100189575, Xlae__GeneID_398338, Xlae__GeneID_399097, Xlae__GeneID_779056	one-to-many	shared HOG	2	0	1	1	1	1	2	4
Shae__MS3_00001716	Shae__MS3_00001716	matched	OG0000784	OG0000784	Hsap__GeneID_1289, Hsap__GeneID_1301, Hsap__GeneID_1302, Hsap__GeneID_50509	many-to-many		no direct pairwise orthologue detected		no direct pairwise orthologue detected	Mmus__GeneID_12814, Mmus__GeneID_12815, Mmus__GeneID_12831, Mmus__GeneID_53867	many-to-many	Xlae__GeneID_108699914, Xlae__GeneID_108700220, Xlae__GeneID_108711695, Xlae__GeneID_108713331, Xlae__GeneID_108714428, Xlae__GeneID_108715007, Xlae__GeneID_398739	many-to-many	shared HOG	4	0	2	2	2	0	4	7
Shae__MS3_00001770	Shae__MS3_00001770	matched	OG0001448	OG0001448	Hsap__GeneID_7094, Hsap__GeneID_83660	many-to-many	Cele__WBGene00006771	many-to-one	Dmel__GeneID_38978	many-to-one	Mmus__GeneID_21894, Mmus__GeneID_70549	many-to-many	Xlae__GeneID_100037170, Xlae__GeneID_108711290, Xlae__GeneID_108712994, Xlae__GeneID_733283	many-to-many	shared HOG	2	1	2	2	2	1	2	4
Shae__MS3_00001771	Shae__MS3_00001771	matched				no direct pairwise orthologue detected		no direct pairwise orthologue detected		no direct pairwise orthologue detected		no direct pairwise orthologue detected		no direct pairwise orthologue detected	not found in selected HOG table								
