Protein_ID,Localizations,Signals,Membrane types,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Peripheral,Transmembrane,Lipid anchor,Soluble
Shae__MS3_00000599,Cell membrane,Signal peptide|Transmembrane domain,Transmembrane,0.29679998755455017,0.13079999387264252,0.1598999947309494,0.8223999738693237,0.0568000003695488,0.014399999752640724,0.16680000722408295,0.5091000199317932,0.33869999647140503,0.15680000185966492,0.33309999108314514,0.9449999928474426,0.05689999833703041,0.14020000398159027
Shae__MS3_00000765,Cell membrane,Signal peptide|Transmembrane domain,Transmembrane,0.31520000100135803,0.19110000133514404,0.14110000431537628,0.7688999772071838,0.04600000008940697,0.01209999993443489,0.2076999992132187,0.3269999921321869,0.25920000672340393,0.03720000013709068,0.2524000108242035,0.9663000106811523,0.07050000131130219,0.15960000455379486
Shae__MS3_00001233,Cell membrane,,Transmembrane|Lipid anchor,0.20900000631809235,0.13230000436306,0.29679998755455017,0.660099983215332,0.1290999948978424,0.002400000113993883,0.12700000405311584,0.21060000360012054,0.18160000443458557,0.05810000002384186,0.1932000070810318,0.6650999784469604,0.8865000009536743,0.19509999454021454
Shae__MS3_00001541,Cytoplasm,,Peripheral|Soluble,0.67330002784729,0.3239000141620636,0.1039000004529953,0.22370000183582306,0.210999995470047,0.008999999612569809,0.13750000298023224,0.5424000024795532,0.4124999940395355,0.22059999406337738,0.6377000212669373,0.10369999706745148,0.15119999647140503,0.7009000182151794
Shae__MS3_00001568,Cell membrane,Signal peptide|Transmembrane domain,Transmembrane,0.22290000319480896,0.1720999926328659,0.12860000133514404,0.7653999924659729,0.051899999380111694,0.016200000420212746,0.2126999944448471,0.22010000050067902,0.20170000195503235,0.050999999046325684,0.35269999504089355,0.9617999792098999,0.0868000015616417,0.1485999971628189
Shae__MS3_00002673,Cytoplasm,Nuclear localization signal,Peripheral|Soluble,0.7200999855995178,0.30390000343322754,0.12020000070333481,0.4047999978065491,0.2280000001192093,0.02759999968111515,0.06199999898672104,0.0284000001847744,0.06700000166893005,0.011800000444054604,0.6520000100135803,0.11810000240802765,0.03350000083446503,0.76419997215271
Shae__MS3_00002886,Cell membrane,Signal peptide|Transmembrane domain,Transmembrane,0.2590000033378601,0.10809999704360962,0.1459999978542328,0.8385999798774719,0.05609999969601631,0.01269999984651804,0.17679999768733978,0.3668999969959259,0.25200000405311584,0.0348999984562397,0.31220000982284546,0.9567000269889832,0.06369999796152115,0.13500000536441803
Shae__MS3_00003925,Cell membrane,Signal peptide,Transmembrane,0.2711000144481659,0.08240000158548355,0.15889999270439148,0.739300012588501,0.09040000289678574,0.012299999594688416,0.17409999668598175,0.27639999985694885,0.2808000147342682,0.059300001710653305,0.27079999446868896,0.7803999781608582,0.5159000158309937,0.24580000340938568
Shae__MS3_00004247,Cell membrane,Signal peptide|Transmembrane domain,Transmembrane,0.3176000118255615,0.1282999962568283,0.12610000371932983,0.8611000180244446,0.05169999971985817,0.012299999594688416,0.17219999432563782,0.45210000872612,0.2849999964237213,0.0908999964594841,0.3172999918460846,0.954800009727478,0.08760000020265579,0.12349999696016312
Shae__MS3_00004868,Cell membrane,Signal peptide|Transmembrane domain,Transmembrane,0.21799999475479126,0.13220000267028809,0.1396999955177307,0.8198999762535095,0.03310000151395798,0.018799999728798866,0.265500009059906,0.39800000190734863,0.3192000091075897,0.039400000125169754,0.33219999074935913,0.9775000214576721,0.08479999750852585,0.11540000140666962
Shae__MS3_00005143,Cytoplasm,Nuclear localization signal,Soluble,0.7730000019073486,0.2662000060081482,0.11159999668598175,0.5087000131607056,0.20880000293254852,0.053199999034404755,0.05530000105500221,0.04010000079870224,0.07649999856948853,0.005799999926239252,0.5457000136375427,0.10809999704360962,0.038600001484155655,0.7949000000953674
Shae__MS3_00006635,Cell membrane,Signal peptide|Transmembrane domain,Transmembrane,0.20090000331401825,0.13840000331401825,0.1152999997138977,0.8450999855995178,0.046300001442432404,0.009999999776482582,0.21240000426769257,0.22579999268054962,0.2021999955177307,0.027000000700354576,0.22259999811649323,0.9681000113487244,0.08399999886751175,0.11339999735355377
Shae__MS3_00006710,Cell membrane,Signal peptide,Soluble,0.29190000891685486,0.12880000472068787,0.444599986076355,0.5328999757766724,0.225600004196167,0.003800000064074993,0.23199999332427979,0.24699999392032623,0.28610000014305115,0.16060000658035278,0.30979999899864197,0.4999000132083893,0.12489999830722809,0.5027999877929688
Shae__MS3_00006969,Cell membrane,Signal peptide|Transmembrane domain,Transmembrane,0.2770000100135803,0.21950000524520874,0.31610000133514404,0.5651000142097473,0.05209999904036522,0.008799999952316284,0.2888000011444092,0.4729999899864197,0.47380000352859497,0.06040000170469284,0.2946000099182129,0.8202999830245972,0.20999999344348907,0.27160000801086426
Shae__MS3_00007223,Cell membrane,Signal peptide|Transmembrane domain,Transmembrane,0.2648000121116638,0.12120000272989273,0.16500000655651093,0.833899974822998,0.03629999980330467,0.026900000870227814,0.23680000007152557,0.4124000072479248,0.3741999864578247,0.08070000261068344,0.4099000096321106,0.9671000242233276,0.12359999865293503,0.10320000350475311
Shae__MS3_00007710,Cell membrane,Signal peptide|Transmembrane domain,Transmembrane,0.26829999685287476,0.17170000076293945,0.1597999930381775,0.7602999806404114,0.05139999836683273,0.032600000500679016,0.3513999879360199,0.3621000051498413,0.4066999852657318,0.050599999725818634,0.31540000438690186,0.9768000245094299,0.08569999784231186,0.11630000174045563
Shae__MS3_00008826,Cell membrane,Signal peptide|Transmembrane domain,Transmembrane,0.41670000553131104,0.3012000024318695,0.13740000128746033,0.5580999851226807,0.06790000200271606,0.003599999938160181,0.3411000072956085,0.45879998803138733,0.24799999594688416,0.019700000062584877,0.25099998712539673,0.974399983882904,0.04830000177025795,0.16179999709129333
Shae__MS3_00009248,Cytoplasm|Extracellular,Nuclear localization signal,Transmembrane|Soluble,0.4957999885082245,0.498199999332428,0.7196999788284302,0.24300000071525574,0.15520000457763672,0.011699999682605267,0.1454000025987625,0.09149999916553497,0.17149999737739563,0.027499999850988388,0.2298000007867813,0.5108000040054321,0.2750999927520752,0.6707000136375427
Shae__MS3_00009394,Cell membrane,Signal peptide|Transmembrane domain,Transmembrane,0.3140999972820282,0.2078000009059906,0.1143999993801117,0.8736000061035156,0.048500001430511475,0.002899999963119626,0.19740000367164612,0.3407000005245209,0.287200003862381,0.048700001090765,0.2223999947309494,0.9247999787330627,0.07240000367164612,0.249099999666214
Shae__MS3_00009815,Cell membrane,Signal peptide|Transmembrane domain,Transmembrane,0.2750999927520752,0.14470000565052032,0.10750000178813934,0.7681999802589417,0.06769999861717224,0.009800000116229057,0.2264000028371811,0.49230000376701355,0.3517000079154968,0.05050000175833702,0.19930000603199005,0.9771000146865845,0.193900004029274,0.09189999848604202
