Orthogroup	Cele	Dmel	Hsap	Mmus	Shae	Sjap	Sman	Xlae	Matched_candidates
OG0000212	Cele__WBGene00009717, Cele__WBGene00010558, Cele__WBGene00021314	Dmel__GeneID_31425, Dmel__GeneID_32115, Dmel__GeneID_32975, Dmel__GeneID_32976, Dmel__GeneID_43469	Hsap__GeneID_5787, Hsap__GeneID_5793, Hsap__GeneID_5794, Hsap__GeneID_5795, Hsap__GeneID_5800, Hsap__GeneID_5803	Mmus__GeneID_19263, Mmus__GeneID_19270, Mmus__GeneID_19271, Mmus__GeneID_19277, Mmus__GeneID_19283, Mmus__GeneID_545902	Shae__MS3_00009815	Sjap__EWB00_002123	Sman__Smp_152750	Xlae__GeneID_108696762, Xlae__GeneID_108697805, Xlae__GeneID_108704986, Xlae__GeneID_108704988, Xlae__GeneID_108705000, Xlae__GeneID_108710688, Xlae__GeneID_108711100, Xlae__GeneID_108713150, Xlae__GeneID_108713433, Xlae__GeneID_108713595, Xlae__GeneID_108715053, Xlae__GeneID_121396151, Xlae__GeneID_121396156, Xlae__GeneID_121399206, Xlae__GeneID_121399248, Xlae__GeneID_121399559, Xlae__GeneID_399352, Xlae__GeneID_432027	Shae__MS3_00009815, Sjap__EWB00_002123, Sman__Smp_152750
OG0000384	Cele__WBGene00001000, Cele__WBGene00003860, Cele__WBGene00003861, Cele__WBGene00019727	Dmel__GeneID_38384	Hsap__GeneID_283284, Hsap__GeneID_343263, Hsap__GeneID_4604, Hsap__GeneID_4606, Hsap__GeneID_4607, Hsap__GeneID_4608, Hsap__GeneID_7273	Mmus__GeneID_109272, Mmus__GeneID_17868, Mmus__GeneID_22138, Mmus__GeneID_233199, Mmus__GeneID_53311, Mmus__GeneID_68753	Shae__MS3_00002673	Sjap__EWB00_003324, Sjap__EWB00_011118	Sman__Smp_303910	Xlae__GeneID_108695905, Xlae__GeneID_108697262, Xlae__GeneID_108701391, Xlae__GeneID_108702272, Xlae__GeneID_108710244, Xlae__GeneID_108712385, Xlae__GeneID_108713456, Xlae__GeneID_398261, Xlae__GeneID_398625	Shae__MS3_00002673, Sjap__EWB00_003324, Sman__Smp_303910
OG0000548	Cele__WBGene00004729	Dmel__GeneID_33314, Dmel__GeneID_37603, Dmel__GeneID_44522	Hsap__GeneID_54538, Hsap__GeneID_6091, Hsap__GeneID_6092, Hsap__GeneID_64221	Mmus__GeneID_19649, Mmus__GeneID_19876, Mmus__GeneID_268902, Mmus__GeneID_74144	Shae__MS3_00004868, Shae__MS3_00007710	Sjap__EWB00_002236, Sjap__EWB00_007255	Sman__Smp_024660, Sman__Smp_204750	Xlae__GeneID_100462919, Xlae__GeneID_108696400, Xlae__GeneID_108696402, Xlae__GeneID_108704930, Xlae__GeneID_108704932, Xlae__GeneID_108707903, Xlae__GeneID_108709204, Xlae__GeneID_399392	Shae__MS3_00004868, Shae__MS3_00007710, Sjap__EWB00_002236, Sman__Smp_024660, Sman__Smp_204750
OG0000568	Cele__WBGene00002243, Cele__WBGene00004732, Cele__WBGene00023520	Dmel__GeneID_31792	Hsap__GeneID_10752, Hsap__GeneID_23114, Hsap__GeneID_3897, Hsap__GeneID_4897	Mmus__GeneID_12661, Mmus__GeneID_16728, Mmus__GeneID_269116, Mmus__GeneID_319504	Shae__MS3_00010197, Shae__MS3_00010198, Shae__MS3_00011072	Sjap__EWB00_006149, Sjap__EWB00_006911	Sman__Smp_001900, Sman__Smp_148020, Sman__Smp_344040	Xlae__GeneID_108705354, Xlae__GeneID_108709439, Xlae__GeneID_108713127, Xlae__GeneID_373742, Xlae__GeneID_443913	Shae__MS3_00010198, Shae__MS3_00011072, Sjap__EWB00_006149, Sman__Smp_148020
OG0000617	Cele__WBGene00016354	Dmel__GeneID_40553	Hsap__GeneID_1272, Hsap__GeneID_152330, Hsap__GeneID_27255, Hsap__GeneID_5067, Hsap__GeneID_53942, Hsap__GeneID_6900	Mmus__GeneID_12805, Mmus__GeneID_18488, Mmus__GeneID_21367, Mmus__GeneID_244682, Mmus__GeneID_269784, Mmus__GeneID_53870	Shae__MS3_00003925	Sjap__EWB00_009360	Sman__Smp_176350	Xlae__GeneID_108707575, Xlae__GeneID_108708146, Xlae__GeneID_108710006, Xlae__GeneID_108714621, Xlae__GeneID_378666, Xlae__GeneID_397710, Xlae__GeneID_432118	Shae__MS3_00003925, Sjap__EWB00_009360, Sman__Smp_176350
OG0000665	Cele__WBGene00004215	Dmel__GeneID_35259	Hsap__GeneID_5789, Hsap__GeneID_5792, Hsap__GeneID_5802	Mmus__GeneID_19266, Mmus__GeneID_19268, Mmus__GeneID_19280	Shae__MS3_00000599, Shae__MS3_00002886, Shae__MS3_00004247	Sjap__EWB00_000603, Sjap__EWB00_004939, Sjap__EWB00_009052	Sman__Smp_244080, Sman__Smp_342880, Sman__Smp_344760	Xlae__GeneID_108711853, Xlae__GeneID_108714090, Xlae__GeneID_108715545, Xlae__GeneID_398160, Xlae__GeneID_398161, Xlae__GeneID_399155	Shae__MS3_00000599, Shae__MS3_00002886, Shae__MS3_00004247, Sjap__EWB00_000603, Sjap__EWB00_009052, Sman__Smp_244080, Sman__Smp_342880, Sman__Smp_344760
OG0000805	Cele__WBGene00000898	Dmel__GeneID_41809, Dmel__GeneID_42549	Hsap__GeneID_3480, Hsap__GeneID_3643, Hsap__GeneID_3645	Mmus__GeneID_16001, Mmus__GeneID_16337, Mmus__GeneID_23920	Shae__MS3_00005028, Shae__MS3_00005322	Sjap__EWB00_003964, Sjap__EWB00_007965	Sman__Smp_009990, Sman__Smp_341160	Xlae__GeneID_100158430, Xlae__GeneID_108700357, Xlae__GeneID_108711478, Xlae__GeneID_398006, Xlae__GeneID_398022, Xlae__GeneID_398941	Sjap__EWB00_003964
OG0001215	Cele__WBGene00004214	Dmel__GeneID_45278	Hsap__GeneID_5777, Hsap__GeneID_5781	Mmus__GeneID_15170, Mmus__GeneID_19247	Shae__MS3_00005553, Shae__MS3_00009248	Sjap__EWB00_009457, Sjap__EWB00_010024	Sman__Smp_035390	Xlae__GeneID_100380954, Xlae__GeneID_108697240, Xlae__GeneID_108697335, Xlae__GeneID_108716965, Xlae__GeneID_399291, Xlae__GeneID_444193	Shae__MS3_00009248
OG0001293	Cele__WBGene00007944	Dmel__GeneID_34987	Hsap__GeneID_22862, Hsap__GeneID_64778	Mmus__GeneID_319448, Mmus__GeneID_331491, Mmus__GeneID_333564, Mmus__GeneID_72007	Shae__MS3_00010503	Sjap__EWB00_006448	Sman__Smp_266820	Xlae__GeneID_108700166, Xlae__GeneID_108708664, Xlae__GeneID_108709916, Xlae__GeneID_108717008, Xlae__GeneID_108718096, Xlae__GeneID_446899	Shae__MS3_00010503, Sjap__EWB00_006448, Sman__Smp_266820
OG0001604	Cele__WBGene00002181	Dmel__GeneID_42865	Hsap__GeneID_3730		Shae__MS3_00006710, Shae__MS3_00006969, Shae__MS3_00010433	Sjap__EWB00_002345, Sjap__EWB00_003808, Sjap__EWB00_003810, Sjap__EWB00_010663	Sman__Smp_159450, Sman__Smp_311870, Sman__Smp_346250	Xlae__GeneID_108707973, Xlae__GeneID_108709163	Shae__MS3_00006710, Shae__MS3_00006969, Shae__MS3_00010433, Sjap__EWB00_002345, Sjap__EWB00_003808, Sjap__EWB00_003810, Sjap__EWB00_010663, Sman__Smp_159450, Sman__Smp_311870, Sman__Smp_346250
