#node	identifier	domain_summary_url	annotation	other_names_and_aliases
MS3_00254	6185.A0A094ZGZ0	Collagen alpha-2(I) chain.	https://smart.embl.de/smart/DDvec.cgi?smart=1236:SIGNAL(1|25)+Pfam_Collagen(33|94)+Pfam_Collagen(263|322)+Pfam_Collagen(326|384)+Pfam_Collagen(517|580)+Pfam_Collagen(630|692)+Pfam_Collagen(905|967)+COLFI(978|1221)+	24588088,A0A094ZGZ0,A0A094ZGZ0_SCHHA,Collagen alpha-2(I) chain,Collagen type V/XI/XXIV/XXVII, alpha,MS3_00254,XM_012936450.1,XP_012791904,XP_012791904.1,shx:MS3_00254
MS3_00256	6185.A0A094ZCZ2	Actin-related protein 6; Belongs to the actin family.	https://smart.embl.de/smart/DDvec.cgi?smart=393:ACTIN(3|391)+	24588090,A0A094ZCZ2,A0A094ZCZ2_SCHHA,Actin-related protein 6,MS3_00256,XM_012936452.1,XP_012791906,XP_012791906.1,shx:MS3_00256
MS3_00351	6185.A0A095BTU9	Actin-related protein 2; ATP-binding component of the Arp2/3 complex, a multiprotein complex that mediates actin polymerization upon stimulation by nucleation-promoting factor (NPF). The Arp2/3 complex mediates the formation of branched actin networks in the cytoplasm, providing the force for cell motility. Seems to contact the pointed end of the daughter actin filament.	https://smart.embl.de/smart/DDvec.cgi?smart=359:ACTIN(8|359)+	24588178,A0A095BTU9,A0A095BTU9_SCHHA,Actin-related protein 2,Actin-related protein 2-A,MS3_00351,XM_012936546.1,XP_012792000,XP_012792000.1,shx:MS3_00351
MS3_00361	6185.A0A094ZD96	Alpha-actinin-1.	https://smart.embl.de/smart/DDvec.cgi?smart=695:CH(31|131)+SPEC(163|269)+SPEC(283|384)+SPEC(398|505)+SPEC(519|618)+Pfam_EF-hand_6(636|665)+	24588188,A0A094ZD96,A0A094ZD96_SCHHA,Actinin alpha 1/4,Alpha-actinin-1,MS3_00361,XM_012936556.1,XP_012792010,XP_012792010.1,shx:MS3_00361
MS3_00783	6185.A0A094ZIB4	Collagen alpha-2(I) chain.	https://smart.embl.de/smart/DDvec.cgi?smart=1329:TRANS(17|36)+Pfam_Collagen(89|148)+Pfam_Collagen(140|204)+Pfam_Collagen(197|259)+Pfam_Collagen(308|372)+Pfam_Collagen(623|694)+Pfam_Collagen(733|809)+Pfam_Collagen(994|1058)+COLFI(1105|1329)+	24588576,A0A094ZIB4,A0A094ZIB4_SCHHA,Collagen alpha-2(I) chain,MS3_00783,XM_012936962.1,XP_012792416,XP_012792416.1,shx:MS3_00783
MS3_00852	6185.A0A094ZFZ8	Filamin-A.	https://smart.embl.de/smart/DDvec.cgi?smart=3062:CH(38|140)+CH(165|261)+IG_FLMN(277|374)+IG_FLMN(377|476)+IG_FLMN(575|671)+IG_FLMN(672|761)+IG_FLMN(767|872)+IG_FLMN(1542|1634)+IG_FLMN(1640|1739)+IG_FLMN(1741|1835)+IG_FLMN(1837|1942)+IG_FLMN(1944|2050)+IG_FLMN(2052|2151)+IG_FLMN(2242|2333)+IG_FLMN(2335|2419)+IG_FLMN(2423|2514)+IG_FLMN(2528|2612)+IG_FLMN(2616|2707)+IG_FLMN(2726|2834)+IG_FLMN(2837|2928)+IG_FLMN(2971|3062)+	24588641,A0A094ZFZ8,A0A094ZFZ8_SCHHA,Filamin,Filamin-A,MS3_00852,XM_012937028.1,XP_012792482,XP_012792482.1,shx:MS3_00852
MS3_01006	6185.A0A095AG66	Collagen alpha-1(V) chain.	https://smart.embl.de/smart/DDvec.cgi?smart=1601:TSPN(29|203)+Pfam_Collagen(300|360)+Pfam_Collagen(434|514)+Pfam_Collagen(533|607)+COLFI(1341|1600)+	24588790,A0A095AG66,A0A095AG66_SCHHA,Collagen alpha-1(V) chain,Collagen type V/XI/XXIV/XXVII, alpha,MS3_01006,XM_012937179.1,XP_012792633,XP_012792633.1,shx:MS3_01006
MS3_01079	6185.A0A095AGB3	Actin-like protein 6A; Belongs to the actin family.	https://smart.embl.de/smart/DDvec.cgi?smart=330:ACTIN(1|330)+	24588858,A0A095AGB3,A0A095AGB3_SCHHA,Actin-like protein 6A,MS3_01079,XM_012937244.1,XP_012792698,XP_012792698.1,shx:MS3_01079
MS3_01298	6185.A0A095BVY6	PDZ and LIM domain protein 7.	https://smart.embl.de/smart/DDvec.cgi?smart=412:PDZ(14|87)+LIM(233|284)+LIM(292|343)+RING(352|383)+	24589061,A0A095BVY6,A0A095BVY6_SCHHA,LIM domain-binding protein 3,MS3_01298,PDZ and LIM domain protein 7,XM_012937458.1,XP_012792912,XP_012792912.1,shx:MS3_01298
MS3_01602	6185.A0A095AHJ7	Collagen alpha-1(IV) chain.	https://smart.embl.de/smart/DDvec.cgi?smart=1340:Pfam_Collagen(1|65)+Pfam_Collagen(167|239)+Pfam_Collagen(243|300)+Pfam_Collagen(348|406)+Pfam_Collagen(397|457)+Pfam_Collagen(460|521)+Pfam_Collagen(834|902)+Pfam_Collagen(1018|1074)+Pfam_C4(1165|1217)+Pfam_C4(1219|1333)+	24589339,A0A095AHJ7,A0A095AHJ7_SCHHA,Collagen alpha-1(IV) chain,Collagen type IV alpha,MS3_01602,XM_012937746.1,XP_012793200,XP_012793200.1,shx:MS3_01602
