# SignalP-6.0	Organism: Eukarya	Timestamp: 20260919223352
# ID	Prediction	OTHER	SP(Sec/SPI)	CS Position
Shae__MS3_00000599	SP	0.000170	0.999840	CS pos: 21-22. Pr: 0.9829
Shae__MS3_00000765	SP	0.000149	0.999867	CS pos: 19-20. Pr: 0.9793
Shae__MS3_00001233	SP	0.000154	0.999844	CS pos: 18-19. Pr: 0.9833
Shae__MS3_00001541	OTHER	1.000000	0.000000	
Shae__MS3_00001568	SP	0.357630	0.642362	CS pos: 50-51. Pr: 0.6111
Shae__MS3_00002673	OTHER	1.000000	0.000000	
Shae__MS3_00002886	SP	0.000195	0.999836	CS pos: 34-35. Pr: 0.6551
Shae__MS3_00003925	SP	0.000168	0.999839	CS pos: 19-20. Pr: 0.9718
Shae__MS3_00004247	OTHER	1.000000	0.000000	
Shae__MS3_00004868	SP	0.000301	0.999726	CS pos: 19-20. Pr: 0.9840
Shae__MS3_00005143	OTHER	1.000000	0.000000	
Shae__MS3_00006635	SP	0.129746	0.870248	CS pos: 50-51. Pr: 0.8100
Shae__MS3_00006710	OTHER	0.666815	0.333198	
Shae__MS3_00006969	SP	0.000155	0.999856	CS pos: 31-32. Pr: 0.9805
Shae__MS3_00007223	SP	0.001709	0.998302	CS pos: 23-24. Pr: 0.5855
Shae__MS3_00007710	SP	0.000207	0.999795	CS pos: 23-24. Pr: 0.5223
Shae__MS3_00008826	OTHER	1.000000	0.000000	
Shae__MS3_00009248	OTHER	1.000000	0.000000	
Shae__MS3_00009394	SP	0.000164	0.999841	CS pos: 23-24. Pr: 0.9817
Shae__MS3_00009815	SP	0.000167	0.999809	CS pos: 25-26. Pr: 0.9708
Shae__MS3_00010050	SP	0.000161	0.999857	CS pos: 24-25. Pr: 0.9314
Shae__MS3_00010198	SP	0.000207	0.999803	CS pos: 18-19. Pr: 0.9827
Shae__MS3_00010224	OTHER	0.959266	0.040730	
Shae__MS3_00010298	OTHER	1.000000	0.000000	
Shae__MS3_00010310	OTHER	1.000000	0.000000	
Shae__MS3_00010433	OTHER	1.000000	0.000000	
Shae__MS3_00010503	OTHER	1.000000	0.000000	
Shae__MS3_00011072	OTHER	0.999994	0.000000	
Shae__MS3_00011127	OTHER	0.999847	0.000148	
Sjap__EWB00_000603	OTHER	1.000000	0.000000	
Sjap__EWB00_000873	SP	0.000168	0.999828	CS pos: 23-24. Pr: 0.9827
Sjap__EWB00_002123	SP	0.000199	0.999791	CS pos: 22-23. Pr: 0.9745
Sjap__EWB00_002236	SP	0.000218	0.999792	CS pos: 19-20. Pr: 0.9809
Sjap__EWB00_002345	SP	0.230069	0.769919	CS pos: 37-38. Pr: 0.4422
Sjap__EWB00_002463	SP	0.000152	0.999860	CS pos: 18-19. Pr: 0.9837
Sjap__EWB00_002960	SP	0.000183	0.999773	CS pos: 17-18. Pr: 0.9817
Sjap__EWB00_003324	OTHER	0.999995	0.000000	
Sjap__EWB00_003342	SP	0.000325	0.999707	CS pos: 21-22. Pr: 0.9844
Sjap__EWB00_003778	OTHER	1.000000	0.000000	
Sjap__EWB00_003808	SP	0.000195	0.999815	CS pos: 22-23. Pr: 0.9547
Sjap__EWB00_003810	OTHER	1.000000	0.000000	
Sjap__EWB00_003878	OTHER	1.000000	0.000000	
Sjap__EWB00_003964	OTHER	0.999983	0.000000	
Sjap__EWB00_004250	OTHER	0.999996	0.000000	
Sjap__EWB00_004279	OTHER	0.848645	0.151419	
Sjap__EWB00_004938	SP	0.000161	0.999848	CS pos: 21-22. Pr: 0.9830
Sjap__EWB00_005094	OTHER	1.000000	0.000000	
Sjap__EWB00_005238	OTHER	1.000000	0.000000	
Sjap__EWB00_005294	OTHER	1.000000	0.000000	
Sjap__EWB00_005510	OTHER	0.999995	0.000000	
Sjap__EWB00_006149	OTHER	1.000000	0.000000	
Sjap__EWB00_006185	OTHER	1.000000	0.000000	
Sjap__EWB00_006448	OTHER	1.000000	0.000000	
