#node	identifier	domain_summary_url	annotation	other_names_and_aliases
A0A3Q0KB95	6183.A0A3Q0KB95	Filamin.	https://smart.embl.de/smart/DDvec.cgi?smart=2483:CH(35|137)+CH(158|254)+IG_FLMN(270|367)+IG_FLMN(370|467)+IG_FLMN(503|598)+IG_FLMN(599|689)+IG_FLMN(694|790)+IG_FLMN(792|886)+IG_FLMN(888|984)+IG_FLMN(1011|1102)+IG_FLMN(1108|1206)+IG_FLMN(1208|1299)+IG_FLMN(1301|1398)+IG_FLMN(1400|1498)+IG_FLMN(1500|1593)+IG_FLMN(1604|1700)+IG_FLMN(1701|1792)+IG_FLMN(1796|1878)+IG_FLMN(1882|1973)+IG_FLMN(1985|2071)+IG_FLMN(2075|2166)+IG_FLMN(2175|2267)+IG_FLMN(2268|2359)+IG_FLMN(2392|2483)+	A0A3Q0KB95,A0A3Q0KB95_SCHMA,Filamin
A0A3Q0KBZ0	6183.A0A3Q0KBZ0	Tyrosine-protein kinase.	https://smart.embl.de/smart/DDvec.cgi?smart=565:SH3(115|172)+SH2(179|268)+TyrKc(297|551)+	2.7.10.2,8346926,A0A3Q0KBZ0,A0A3Q0KBZ0_SCHMA,EC 2.7.10.2,Smp_006920,Tyrosine kinase,Tyrosine-protein kinase,Tyrosine-protein kinase Src,XP_018645611,smm:Smp_006920
A0A3Q0KD53	6183.A0A3Q0KD53	Pinch, putative.	https://smart.embl.de/smart/DDvec.cgi?smart=358:LIM(38|91)+LIM(99|150)+LIM(163|214)+LIM(222|273)+LIM(281|333)+	8353120,A0A3Q0KD53,A0A3Q0KD53_SCHMA,Pinch, putative,Smp_020540.1,XP_018646826,smm:Smp_020540.1
A0A3Q0KE94	6183.A0A3Q0KE94	Putative alpha-actinin.	https://smart.embl.de/smart/DDvec.cgi?smart=899:CH(38|138)+CH(151|250)+Pfam_Spectrin(279|389)+SPEC(402|503)+SPEC(517|625)+Pfam_Spectrin(638|739)+EFh(756|784)+EFh(797|825)+efhand_Ca_insen(828|895)+	8342003,A0A3Q0KE94,A0A3Q0KE94_SCHMA,Actinin alpha 1/4,Putative alpha-actinin,Smp_034550,XP_018648088,smm:Smp_034550
A0A3Q0KHF0	6183.A0A3Q0KHF0	B41 domain-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=1142:B41(105|972)+	8341324,A0A3Q0KHF0,A0A3Q0KHF0_SCHMA,B41 domain-containing protein,Hypothetical protein,Kindlin 2,Smp_070640,XP_018646661,smm:Smp_070640
A0A3Q0KIA3	6183.A0A3Q0KIA3	Protein kinase.	https://smart.embl.de/smart/DDvec.cgi?smart=364:Pfam_Pkinase_Tyr(69|355)+	2.7.11.1,8345694,A0A3Q0KIA3,A0A3Q0KIA3_SCHMA,EC 2.7.11.1,Integrin-linked kinase,Protein kinase,Smp_079760.1,XP_018651237,smm:Smp_079760.1
A0A3Q0KIZ6	6183.A0A3Q0KIZ6	Integrin beta; Belongs to the integrin beta chain family.	https://smart.embl.de/smart/DDvec.cgi?smart=825:VWA(95|352)+EGF(527|564)+Pfam_EGF_2(572|605)+TRANS(754|776)+Integrin_b_cyt(777|823)+	8355791,A0A3Q0KIZ6,A0A3Q0KIZ6_SCHMA,Integrin beta,Integrin beta 1,Putative integrin beta subunit,Smp_089700,XP_018647537,smm:Smp_089700
A0A3Q0KJS3	6183.A0A3Q0KJS3	Actin-related protein 2; ATP-binding component of the Arp2/3 complex, a multiprotein complex that mediates actin polymerization upon stimulation by nucleation-promoting factor (NPF). The Arp2/3 complex mediates the formation of branched actin networks in the cytoplasm, providing the force for cell motility. Seems to contact the pointed end of the daughter actin filament.	https://smart.embl.de/smart/DDvec.cgi?smart=396:ACTIN(8|394)+	8345503,A0A3Q0KJS3,A0A3Q0KJS3_SCHMA,Actin-related protein 2,Actin-related protein 2, arp2,Smp_101290.1,XP_018650016,smm:Smp_101290.1
A0A3Q0KKN8	6183.A0A3Q0KKN8	Putative collagen alpha-1(V) chain.	https://smart.embl.de/smart/DDvec.cgi?smart=1662:SIGNAL(1|37)+TSPN(69|252)+Pfam_Collagen(358|419)+Pfam_Collagen(492|572)+Pfam_Collagen(705|767)+Pfam_Collagen(795|871)+Pfam_Collagen(1314|1376)+COLFI(1402|1661)+	8348336,A0A3Q0KKN8,A0A3Q0KKN8_SCHMA,Collagen type V/XI/XXIV/XXVII, alpha,Putative collagen alpha-1(V) chain,Putative collagen alpha-1(V) chain precursor,Smp_123830,XP_018647704,smm:Smp_123830
A0A3Q0KL07	6183.A0A3Q0KL07	Alpha integrin receptor 1; Putative integrin alpha; Belongs to the integrin alpha chain family.	https://smart.embl.de/smart/DDvec.cgi?smart=1372:SIGNAL(1|27)+Int_alpha(53|114)+Int_alpha(354|433)+Int_alpha(458|517)+Int_alpha(548|595)+Pfam_Integrin_alpha2(604|878)+Pfam_Integrin_alpha2(937|1190)+TRANS(1311|1333)+	8342580,A0A3Q0KL07,A0A3Q0KL07_SCHMA,Integrin alpha 8,Putative integrin alpha,Smp_126140,XP_018648439,smm:Smp_126140
