candidate_id	prepared_id	mapping_status	HOG	Orthogroup	Hsap_orthologues	Hsap_relationship	Cele_orthologues	Cele_relationship	Dmel_orthologues	Dmel_relationship	Mmus_orthologues	Mmus_relationship	Xlae_orthologues	Xlae_relationship	HOG_status	Hsap_HOG_copy_counts	Cele_HOG_copy_counts	Shae_HOG_copy_counts	Sjap_HOG_copy_counts	Sman_HOG_copy_counts	Dmel_HOG_copy_counts	Mmus_HOG_copy_counts	Xlae_HOG_copy_counts
Shae__MS3_00000599	Shae__MS3_00000599	matched	OG0000665	OG0000665	Hsap__GeneID_5789, Hsap__GeneID_5792, Hsap__GeneID_5802	many-to-many	Cele__WBGene00004215	many-to-one	Dmel__GeneID_35259	many-to-one	Mmus__GeneID_19266, Mmus__GeneID_19268, Mmus__GeneID_19280	many-to-many	Xlae__GeneID_108711853, Xlae__GeneID_108714090, Xlae__GeneID_108715545, Xlae__GeneID_398160, Xlae__GeneID_398161, Xlae__GeneID_399155	many-to-many	shared HOG	3	1	3	3	3	1	3	6
Shae__MS3_00000765	Shae__MS3_00000765	matched	OG0012358	OG0012358		no direct pairwise orthologue detected		no direct pairwise orthologue detected		no direct pairwise orthologue detected		no direct pairwise orthologue detected		no direct pairwise orthologue detected	Schistosoma-only in sampled HOG	0	0	1	1	1	0	0	0
Shae__MS3_00001233	Shae__MS3_00001233	matched	OG0001841	OG0001841	Hsap__GeneID_4684, Hsap__GeneID_4685	one-to-many	Cele__WBGene00006981, Cele__WBGene00017184	one-to-many	Dmel__GeneID_31364	one-to-one	Mmus__GeneID_17967, Mmus__GeneID_17968	one-to-many	Xlae__GeneID_108707426, Xlae__GeneID_108709214, Xlae__GeneID_397761, Xlae__GeneID_397762	one-to-many	shared HOG	2	2	1	1	1	1	2	4
Shae__MS3_00001541	Shae__MS3_00001541	matched	OG0002241	OG0002241	Hsap__GeneID_114088, Hsap__GeneID_440730	one-to-many	Cele__WBGene00016539	one-to-one	Dmel__GeneID_34453	one-to-one	Mmus__GeneID_330863, Mmus__GeneID_94090	one-to-many	Xlae__GeneID_108698771, Xlae__GeneID_108699783, Xlae__GeneID_108716120, Xlae__GeneID_108717840	one-to-many	shared HOG	2	1	1	1	1	1	2	4
Shae__MS3_00001568	Shae__MS3_00001568	matched	OG0002160	OG0002160	Hsap__GeneID_4868	many-to-one	Cele__WBGene00007750	many-to-one	Dmel__GeneID_44097, Dmel__GeneID_44129	many-to-many	Mmus__GeneID_54631	many-to-one	Xlae__GeneID_734213	many-to-one	shared HOG	1	1	2	3	2	2	1	1
Shae__MS3_00002673	Shae__MS3_00002673	matched	OG0000384	OG0000384	Hsap__GeneID_283284, Hsap__GeneID_343263, Hsap__GeneID_4604, Hsap__GeneID_4606, Hsap__GeneID_4607, Hsap__GeneID_4608, Hsap__GeneID_7273	one-to-many	Cele__WBGene00001000, Cele__WBGene00003860, Cele__WBGene00003861, Cele__WBGene00019727	one-to-many	Dmel__GeneID_38384	one-to-one	Mmus__GeneID_109272, Mmus__GeneID_17868, Mmus__GeneID_22138, Mmus__GeneID_233199, Mmus__GeneID_53311, Mmus__GeneID_68753	one-to-many	Xlae__GeneID_108695905, Xlae__GeneID_108697262, Xlae__GeneID_108701391, Xlae__GeneID_108702272, Xlae__GeneID_108710244, Xlae__GeneID_108712385, Xlae__GeneID_108713456, Xlae__GeneID_398261, Xlae__GeneID_398625	one-to-many	shared HOG	7	4	1	2	1	1	6	9
Shae__MS3_00002886	Shae__MS3_00002886	matched	OG0000665	OG0000665	Hsap__GeneID_5789, Hsap__GeneID_5792, Hsap__GeneID_5802	many-to-many	Cele__WBGene00004215	many-to-one	Dmel__GeneID_35259	many-to-one	Mmus__GeneID_19266, Mmus__GeneID_19268, Mmus__GeneID_19280	many-to-many	Xlae__GeneID_108711853, Xlae__GeneID_108714090, Xlae__GeneID_108715545, Xlae__GeneID_398160, Xlae__GeneID_398161, Xlae__GeneID_399155	many-to-many	shared HOG	3	1	3	3	3	1	3	6
Shae__MS3_00003925	Shae__MS3_00003925	matched	OG0000617	OG0000617	Hsap__GeneID_1272, Hsap__GeneID_152330, Hsap__GeneID_27255, Hsap__GeneID_5067, Hsap__GeneID_53942, Hsap__GeneID_6900	one-to-many	Cele__WBGene00016354	one-to-one	Dmel__GeneID_40553	one-to-one	Mmus__GeneID_12805, Mmus__GeneID_18488, Mmus__GeneID_21367, Mmus__GeneID_244682, Mmus__GeneID_269784, Mmus__GeneID_53870	one-to-many	Xlae__GeneID_108707575, Xlae__GeneID_108708146, Xlae__GeneID_108710006, Xlae__GeneID_108714621, Xlae__GeneID_378666, Xlae__GeneID_397710, Xlae__GeneID_432118	one-to-many	shared HOG	6	1	1	1	1	1	6	7
Shae__MS3_00004247	Shae__MS3_00004247	matched	OG0000665	OG0000665	Hsap__GeneID_5789, Hsap__GeneID_5792, Hsap__GeneID_5802	many-to-many	Cele__WBGene00004215	many-to-one	Dmel__GeneID_35259	many-to-one	Mmus__GeneID_19266, Mmus__GeneID_19268, Mmus__GeneID_19280	many-to-many	Xlae__GeneID_108711853, Xlae__GeneID_108714090, Xlae__GeneID_108715545, Xlae__GeneID_398160, Xlae__GeneID_398161, Xlae__GeneID_399155	many-to-many	shared HOG	3	1	3	3	3	1	3	6
Shae__MS3_00004868	Shae__MS3_00004868	matched	OG0000548	OG0000548	Hsap__GeneID_54538, Hsap__GeneID_6091, Hsap__GeneID_6092, Hsap__GeneID_64221	many-to-many	Cele__WBGene00004729	many-to-one	Dmel__GeneID_33314, Dmel__GeneID_37603, Dmel__GeneID_44522	many-to-many	Mmus__GeneID_19649, Mmus__GeneID_19876, Mmus__GeneID_268902, Mmus__GeneID_74144	many-to-many	Xlae__GeneID_100462919, Xlae__GeneID_108696400, Xlae__GeneID_108696402, Xlae__GeneID_108704930, Xlae__GeneID_108704932, Xlae__GeneID_108707903, Xlae__GeneID_108709204, Xlae__GeneID_399392	many-to-many	shared HOG	4	1	2	2	2	3	4	8
Shae__MS3_00005143	Shae__MS3_00005143	matched	OG0007352	OG0007352		no direct pairwise orthologue detected	Cele__WBGene00006759	one-to-one	Dmel__GeneID_43814	one-to-one		no direct pairwise orthologue detected		no direct pairwise orthologue detected	shared HOG	0	1	1	1	1	1	0	0
Shae__MS3_00006635	Shae__MS3_00006635	matched	OG0002160	OG0002160	Hsap__GeneID_4868	many-to-one	Cele__WBGene00007750	many-to-one	Dmel__GeneID_44097, Dmel__GeneID_44129	many-to-many	Mmus__GeneID_54631	many-to-one	Xlae__GeneID_734213	many-to-one	shared HOG	1	1	2	3	2	2	1	1
Shae__MS3_00006710	Shae__MS3_00006710	matched	OG0001604	OG0001604	Hsap__GeneID_3730	many-to-one	Cele__WBGene00002181	many-to-one	Dmel__GeneID_42865	many-to-one		no direct pairwise orthologue detected	Xlae__GeneID_108707973, Xlae__GeneID_108709163	many-to-many	shared HOG	1	1	3	4	3	1	0	2
